"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","472","3.08%","89.39%","56","2.88%","10.61%","528","3.06%"
"1.1 - 2","499","3.26%","89.75%","57","2.94%","10.25%","556","3.22%"
"2.1 - 3","774","5.05%","82.87%","160","8.24%","17.13%","934","5.41%"
"3.1 - 4","639","4.17%","86.23%","102","5.25%","13.77%","741","4.29%"
"4.1 - 5","1,473","9.61%","87.31%","214","11.02%","12.69%","1,687","9.77%"
"5.1 - 6","773","5.04%","85.32%","133","6.85%","14.68%","906","5.25%"
"6.1 - 7","727","4.74%","89.75%","83","4.27%","10.25%","810","4.69%"
"7.1 - 8","715","4.67%","89.94%","80","4.12%","10.06%","795","4.60%"
"8.1 - 9","668","4.36%","90.64%","69","3.55%","9.36%","737","4.27%"
"9.1 - 10","2,114","13.79%","86.71%","324","16.68%","13.29%","2,438","14.12%"
"10.1 - 12","1,228","8.01%","89.31%","147","7.57%","10.69%","1,375","7.96%"
"12.1 - 15","1,789","11.67%","89.76%","204","10.50%","10.24%","1,993","11.54%"
"15.1 - 20","2,106","13.74%","91.57%","194","9.99%","8.43%","2,300","13.32%"
"20.1 - Over","1,170","7.63%","91.33%","111","5.72%","8.67%","1,281","7.42%"
"Life","144","0.94%","94.74%","8","0.41%","5.26%","152","0.88%"
"Life Without Parole","11","0.07%","100.00%","0","","","11","0.06%"
"Death","22","0.14%","100.00%","0","","","22","0.13%"
"Youthful Offenders","2","0.01%","100.00%","0","","","2","0.01%"
"Total Reported","15,326","100%","88.75%","1,942","100%","11.25%","17,268","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,326","","","1,942","","","17,268",""
