"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","2,995","16.42%","87.37%","433","19.64%","12.63%","3,428","16.77%"
"1.1 - 2","3,740","20.51%","86.53%","582","26.39%","13.47%","4,322","21.14%"
"2.1 - 3","2,649","14.53%","87.95%","363","16.46%","12.05%","3,012","14.73%"
"3.1 - 4","1,502","8.24%","88.56%","194","8.80%","11.44%","1,696","8.30%"
"4.1 - 5","2,273","12.46%","89.17%","276","12.52%","10.83%","2,549","12.47%"
"5.1 - 6","946","5.19%","91.84%","84","3.81%","8.16%","1,030","5.04%"
"6.1 - 7","665","3.65%","92.62%","53","2.40%","7.38%","718","3.51%"
"7.1 - 8","582","3.19%","91.94%","51","2.31%","8.06%","633","3.10%"
"8.1 - 9","208","1.14%","92.04%","18","0.82%","7.96%","226","1.11%"
"9.1 - 10","1,236","6.78%","93.21%","90","4.08%","6.79%","1,326","6.49%"
"10.1 - 12","443","2.43%","96.10%","18","0.82%","3.90%","461","2.26%"
"12.1 - 15","341","1.87%","95.52%","16","0.73%","4.48%","357","1.75%"
"15.1 - 20","262","1.44%","95.27%","13","0.59%","4.73%","275","1.35%"
"20.1 - Over","156","0.86%","98.73%","2","0.09%","1.27%","158","0.77%"
"Life","234","1.28%","95.12%","12","0.54%","4.88%","246","1.20%"
"Life Without Parole","2","0.01%","100.00%","0","","","2","0.01%"
"Death","3","0.02%","100.00%","0","","","3","0.01%"
"Total Reported","18,237","100%","89.21%","2,205","100%","10.79%","20,442","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,237","","","2,205","","","20,442",""
