"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","480","3.15%","89.05%","58","2.93%","10.76%","539","3.13%"
"1.1 - 2","570","3.74%","88.51%","74","3.74%","11.49%","644","3.74%"
"2.1 - 3","771","5.05%","82.20%","167","8.45%","17.80%","938","5.44%"
"3.1 - 4","612","4.01%","85.71%","102","5.16%","14.29%","714","4.14%"
"4.1 - 5","1,475","9.67%","87.80%","205","10.37%","12.20%","1,680","9.75%"
"5.1 - 6","747","4.90%","87.27%","109","5.51%","12.73%","856","4.97%"
"6.1 - 7","766","5.02%","88.25%","102","5.16%","11.75%","868","5.04%"
"7.1 - 8","689","4.52%","88.79%","87","4.40%","11.21%","776","4.50%"
"8.1 - 9","707","4.63%","90.52%","74","3.74%","9.48%","781","4.53%"
"9.1 - 10","1,840","12.06%","86.59%","285","14.42%","13.41%","2,125","12.33%"
"10.1 - 12","1,054","6.91%","87.76%","147","7.44%","12.24%","1,201","6.97%"
"12.1 - 15","1,724","11.30%","89.60%","200","10.12%","10.40%","1,924","11.16%"
"15.1 - 20","1,904","12.48%","90.32%","204","10.32%","9.68%","2,108","12.23%"
"20.1 - Over","1,504","9.86%","91.32%","143","7.23%","8.68%","1,647","9.56%"
"Life","241","1.58%","94.14%","15","0.76%","5.86%","256","1.49%"
"Life Without Parole","108","0.71%","96.43%","4","0.20%","3.57%","112","0.65%"
"Death","6","0.04%","100.00%","0","","","6","0.03%"
"Youthful Offenders","61","0.40%","98.39%","1","0.05%","1.61%","62","0.36%"
"Total Reported","15,259","100%","88.52%","1,977","100%","11.47%","17,237","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,259","","","1,977","","","17,237",""
