"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","2,896","17.76%","86.01%","471","20.18%","13.99%","3,367","18.06%"
"1.1 - 2","3,248","19.92%","82.94%","668","28.62%","17.06%","3,916","21.01%"
"2.1 - 3","2,357","14.45%","87.26%","344","14.74%","12.74%","2,701","14.49%"
"3.1 - 4","1,333","8.17%","86.00%","217","9.30%","14.00%","1,550","8.32%"
"4.1 - 5","2,163","13.26%","88.76%","274","11.74%","11.24%","2,437","13.07%"
"5.1 - 6","573","3.51%","90.24%","62","2.66%","9.76%","635","3.41%"
"6.1 - 7","559","3.43%","89.30%","67","2.87%","10.70%","626","3.36%"
"7.1 - 8","414","2.54%","90.39%","44","1.89%","9.61%","458","2.46%"
"8.1 - 9","144","0.88%","90.57%","15","0.64%","9.43%","159","0.85%"
"9.1 - 10","1,077","6.60%","92.61%","86","3.68%","7.39%","1,163","6.24%"
"10.1 - 12","305","1.87%","93.85%","20","0.86%","6.15%","325","1.74%"
"12.1 - 15","416","2.55%","95.41%","20","0.86%","4.59%","436","2.34%"
"15.1 - 20","305","1.87%","94.72%","17","0.73%","5.28%","322","1.73%"
"20.1 - Over","195","1.20%","95.12%","10","0.43%","4.88%","205","1.10%"
"Life","301","1.85%","94.65%","17","0.73%","5.35%","318","1.71%"
"Life Without Parole","18","0.11%","90.00%","2","0.09%","10.00%","20","0.11%"
"Death","3","0.02%","100.00%","0","","","3","0.02%"
"Total Reported","16,307","100%","87.48%","2,334","100.0%","12.52%","18,641","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,307","","","2,334","","","18,641",""
