"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","3,040","14.97%","91.15%","295","13.84%","8.85%","3,335","14.86%"
"1.1 - 2","3,424","16.86%","90.30%","368","17.26%","9.70%","3,792","16.89%"
"2.1 - 3","2,704","13.31%","88.74%","343","16.09%","11.26%","3,047","13.58%"
"3.1 - 4","1,951","9.60%","90.07%","215","10.08%","9.93%","2,166","9.65%"
"4.1 - 5","2,529","12.45%","90.16%","276","12.95%","9.84%","2,805","12.50%"
"5.1 - 6","1,105","5.44%","88.61%","142","6.66%","11.39%","1,247","5.56%"
"6.1 - 7","926","4.56%","90.34%","99","4.64%","9.66%","1,025","4.57%"
"7.1 - 8","703","3.46%","90.24%","76","3.56%","9.76%","779","3.47%"
"8.1 - 9","571","2.81%","91.07%","56","2.63%","8.93%","627","2.79%"
"9.1 - 10","1,067","5.25%","91.04%","105","4.92%","8.96%","1,172","5.22%"
"10.1 - 12","555","2.73%","91.89%","49","2.30%","8.11%","604","2.69%"
"12.1 - 15","574","2.83%","92.58%","46","2.16%","7.42%","620","2.76%"
"15.1 - 20","401","1.97%","94.13%","25","1.17%","5.87%","426","1.90%"
"20.1 - Over","331","1.63%","96.22%","13","0.61%","3.78%","344","1.53%"
"Life","345","1.70%","94.78%","19","0.89%","5.22%","364","1.62%"
"Life Without Parole","85","0.42%","94.44%","5","0.23%","5.56%","90","0.40%"
"Death","2","0.01%","100.00%","0","","","2","0.01%"
"Total Reported","20,313","100%","90.50%","2,132","100%","9.50%","22,445","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","20,313","","","2,132","","","22,445",""
