"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","2,671","15.27%","88.47%","348","18.83%","11.53%","3,019","15.61%"
"1.1 - 2","3,855","22.04%","88.32%","510","27.60%","11.68%","4,365","22.57%"
"2.1 - 3","2,654","15.17%","88.64%","340","18.40%","11.36%","2,994","15.48%"
"3.1 - 4","1,574","9.00%","89.58%","183","9.90%","10.42%","1,757","9.09%"
"4.1 - 5","2,319","13.26%","91.88%","205","11.09%","8.12%","2,524","13.05%"
"5.1 - 6","719","4.11%","93.13%","53","2.87%","6.87%","772","3.99%"
"6.1 - 7","598","3.42%","94.47%","35","1.89%","5.53%","633","3.27%"
"7.1 - 8","461","2.64%","92.02%","40","2.16%","7.98%","501","2.59%"
"8.1 - 9","192","1.10%","91.87%","17","0.92%","8.13%","209","1.08%"
"9.1 - 10","968","5.53%","94.35%","58","3.14%","5.65%","1,026","5.31%"
"10.1 - 12","312","1.78%","94.83%","17","0.92%","5.17%","329","1.70%"
"12.1 - 15","428","2.45%","97.49%","11","0.60%","2.51%","439","2.27%"
"15.1 - 20","263","1.50%","95.64%","12","0.65%","4.36%","275","1.42%"
"20.1 - Over","190","1.09%","95.96%","8","0.43%","4.04%","198","1.02%"
"Life","252","1.44%","96.18%","10","0.54%","3.82%","262","1.35%"
"Life Without Parole","30","0.17%","96.77%","1","0.05%","3.23%","31","0.16%"
"Death","4","0.02%","100.00%","0","","","4","0.02%"
"Total Reported","17,490","100%","90.44%","1,848","100%","9.56%","19,338","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","17,490","","","1,848","","","19,338",""
