"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","2,620","15.90%","87.54%","373","18.27%","12.46%","2,993","16.16%"
"1.1 - 2","3,475","21.09%","86.06%","563","27.57%","13.94%","4,038","21.80%"
"2.1 - 3","2,349","14.26%","86.33%","372","18.22%","13.67%","2,721","14.69%"
"3.1 - 4","1,490","9.04%","88.37%","196","9.60%","11.63%","1,686","9.10%"
"4.1 - 5","2,019","12.25%","90.05%","223","10.92%","9.95%","2,242","12.11%"
"5.1 - 6","798","4.84%","90.68%","82","4.02%","9.32%","880","4.75%"
"6.1 - 7","586","3.56%","92.43%","48","2.35%","7.57%","634","3.42%"
"7.1 - 8","543","3.30%","92.82%","42","2.06%","7.18%","585","3.16%"
"8.1 - 9","224","1.36%","94.51%","13","0.64%","5.49%","237","1.28%"
"9.1 - 10","961","5.83%","94.87%","52","2.55%","5.13%","1,013","5.47%"
"10.1 - 12","358","2.17%","94.21%","22","1.08%","5.79%","380","2.05%"
"12.1 - 15","397","2.41%","96.13%","16","0.78%","3.87%","413","2.23%"
"15.1 - 20","264","1.60%","92.96%","20","0.98%","7.04%","284","1.53%"
"20.1 - Over","180","1.09%","95.24%","9","0.44%","4.76%","189","1.02%"
"Life","209","1.27%","95.00%","11","0.54%","5.00%","220","1.19%"
"Life Without Parole","3","0.02%","100.00%","0","","","3","0.02%"
"Death","1","0.01%","100.00%","0","","","1","0.01%"
"Total Reported","16,477","100%","88.97%","2,042","100.0%","11.03%","18,519","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,477","","","2,042","","","18,519",""
