"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","535","3.03%","89.77%","61","2.82%","10.23%","596","3.01%"
"1.1 - 2","620","3.52%","88.45%","81","3.74%","11.55%","701","3.54%"
"2.1 - 3","642","3.64%","85.49%","109","5.04%","14.51%","751","3.79%"
"3.1 - 4","728","4.13%","89.99%","81","3.74%","10.01%","809","4.09%"
"4.1 - 5","1,899","10.77%","89.32%","227","10.49%","10.68%","2,126","10.74%"
"5.1 - 6","904","5.13%","86.18%","145","6.70%","13.82%","1,049","5.30%"
"6.1 - 7","914","5.18%","90.05%","101","4.67%","9.95%","1,015","5.13%"
"7.1 - 8","841","4.77%","88.34%","111","5.13%","11.66%","952","4.81%"
"8.1 - 9","794","4.50%","89.62%","92","4.25%","10.38%","886","4.47%"
"9.1 - 10","3,005","17.04%","87.41%","433","20.01%","12.59%","3,438","17.36%"
"10.1 - 12","1,360","7.71%","89.06%","167","7.72%","10.94%","1,527","7.71%"
"12.1 - 15","1,957","11.10%","87.60%","277","12.80%","12.40%","2,234","11.28%"
"15.1 - 20","2,153","12.21%","92.28%","180","8.32%","7.72%","2,333","11.78%"
"20.1 - Over","1,107","6.28%","92.17%","94","4.34%","7.83%","1,201","6.07%"
"Life","172","0.98%","97.18%","5","0.23%","2.82%","177","0.89%"
"Life Without Parole","2","0.01%","100.00%","0","","","2","0.01%"
"Death","3","0.02%","100.00%","0","","","3","0.02%"
"Youthful Offenders","1","0.01%","100.00%","0","","","1","0.01%"
"Total Reported","17,637","100%","89.07%","2,164","100%","10.93%","19,801","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","17,637","","","2,164","","","19,801",""
