"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","3,296","17.07%","88.20%","441","21.21%","11.80%","3,737","17.47%"
"1.1 - 2","3,591","18.60%","88.86%","450","21.65%","11.14%","4,041","18.89%"
"2.1 - 3","2,819","14.60%","87.82%","391","18.81%","12.18%","3,210","15.01%"
"3.1 - 4","1,676","8.68%","91.34%","159","7.65%","8.66%","1,835","8.58%"
"4.1 - 5","2,388","12.37%","90.15%","261","12.55%","9.85%","2,649","12.38%"
"5.1 - 6","848","4.39%","93.29%","61","2.93%","6.71%","909","4.25%"
"6.1 - 7","650","3.37%","92.07%","56","2.69%","7.93%","706","3.30%"
"7.1 - 8","565","2.93%","92.78%","44","2.12%","7.22%","609","2.85%"
"8.1 - 9","247","1.28%","95.37%","12","0.58%","4.63%","259","1.21%"
"9.1 - 10","1,320","6.84%","93.42%","93","4.47%","6.58%","1,413","6.61%"
"10.1 - 12","515","2.67%","93.81%","34","1.64%","6.19%","549","2.57%"
"12.1 - 15","530","2.74%","94.64%","30","1.44%","5.36%","560","2.62%"
"15.1 - 20","342","1.77%","94.48%","20","0.96%","5.52%","362","1.69%"
"20.1 - Over","218","1.13%","93.56%","15","0.72%","6.44%","233","1.09%"
"Life","297","1.54%","96.12%","12","0.58%","3.88%","309","1.44%"
"Life Without Parole","4","0.02%","100.00%","0","","","4","0.02%"
"Death","5","0.03%","100.00%","0","","","5","0.02%"
"Total Reported","19,311","100%","90.28%","2,079","100%","9.72%","21,390","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,311","","","2,079","","","21,390",""
