report,PSIY_0-1,PSIY_1.1-2,PSIY_2.1-3,PSIY_3.1-4,PSIY_4.1-5,PSIY_5.1-6,PSIY_6.1-7,PSIY_7.1-8,PSIY_8.1-9,PSIY_9.1-10,PSIY_10.1-12,PSIY_12.1-15,PSIY_15.1-20,PSIY_20.1+,PSIY_life,PSIY_LWOP,PSIY_death,PSIY_YO,PSIY_total_reported,PSIY_not_reported,total_pop,PSIY_0-1_m,PSIY_1.1-2_m,PSIY_2.1-3_m,PSIY_3.1-4_m,PSIY_4.1-5_m,PSIY_5.1-6_m,PSIY_6.1-7_m,PSIY_7.1-8_m,PSIY_8.1-9_m,PSIY_9.1-10_m,PSIY_10.1-12_m,PSIY_12.1-15_m,PSIY_15.1-20_m,PSIY_20.1+_m,PSIY_life_m,PSIY_LWOP_m,PSIY_death_m,PSIY_YO_m,PSIY_total_reported_m,PSIY_not_reported_m,total_male_pop,PSIY_0-1_f,PSIY_1.1-2_f,PSIY_2.1-3_f,PSIY_3.1-4_f,PSIY_4.1-5_f,PSIY_5.1-6_f,PSIY_6.1-7_f,PSIY_7.1-8_f,PSIY_8.1-9_f,PSIY_9.1-10_f,PSIY_10.1-12_f,PSIY_12.1-15_f,PSIY_15.1-20_f,PSIY_20.1+_f,PSIY_life_f,PSIY_LWOP_f,PSIY_death_f,PSIY_YO_f,PSIY_total_reported_f,PSIY_not_reported_f,total_female_pop
Admissions_CY_2005,3019,4365,2994,1757,2524,772,633,501,209,1026,329,439,275,198,262,31,4,,19338,0,19338,2671,3855,2654,1574,2319,719,598,461,192,968,312,428,263,190,252,30,4,,17490,0,17490,348,510,340,183,205,53,35,40,17,58,17,11,12,8,10,1,0,,1848,0,1848
Admissions_CY_2006,4165,4703,3365,1918,2747,870,698,538,200,1385,331,464,303,248,336,31,1,,22303,0,22303,3655,3959,2905,1694,2413,775,624,498,187,1274,316,440,292,239,309,31,1,,19612,0,19612,510,744,460,224,334,95,74,40,13,111,15,24,11,9,27,0,0,,2691,0,2691
Admissions_CY_2007,3150,4576,3360,1774,2785,849,678,559,187,1361,425,495,331,251,365,21,4,,21171,0,21171,2759,4005,2946,1594,2548,769,636,518,173,1264,403,466,322,243,347,21,4,,19018,0,19018,391,571,414,180,237,80,42,41,14,97,22,29,9,8,18,0,0,,2153,0,2153
Admissions_CY_2008,3367,3916,2701,1550,2437,635,626,458,159,1163,325,436,322,205,318,20,3,,18641,0,18641,2896,3248,2357,1333,2163,573,559,414,144,1077,305,416,305,195,301,18,3,,16307,0,16307,471,668,344,217,274,62,67,44,15,86,20,20,17,10,17,2,0,,2334,0,2334
Admissions_CY_2009,3703,4620,3155,1721,2562,799,726,563,253,1309,392,513,350,284,378,51,2,,21381,0,21380,3224,3993,2770,1544,2294,727,646,523,228,1211,367,484,333,277,364,49,2,,19036,0,19036,479,626,385,177,268,72,80,40,25,98,25,29,17,7,14,2,0,,2344,0,2344
Admissions_CY_2010,3499,4781,2973,1599,2482,699,609,491,271,1057,315,481,326,254,328,48,2,,20215,0,20213,2990,4230,2582,1421,2219,633,563,448,259,1003,299,459,311,241,308,47,2,,18015,0,18015,509,551,391,178,262,66,46,43,12,54,16,21,15,13,20,1,0,,2198,0,2198
Admissions_CY_2011,3557,4105,3260,2070,2417,933,744,585,405,1021,427,480,348,277,351,74,1,,21055,0,21055,3189,3642,2905,1852,2223,840,692,546,389,950,406,462,332,271,331,72,1,,19103,0,19103,368,463,355,218,194,93,52,39,16,71,21,18,16,6,20,2,0,,1952,0,1952
Admissions_CY_2012,3335,3792,3047,2166,2805,1247,1025,779,627,1172,604,620,426,344,364,90,2,,22445,0,22445,3040,3424,2704,1951,2529,1105,926,703,571,1067,555,574,401,331,345,85,2,,20313,0,20313,295,368,343,215,276,142,99,76,56,105,49,46,25,13,19,5,0,,2132,0,2132
Admissions_CY_2013,627,904,876,878,2257,1074,1020,969,797,3266,1402,2134,2234,1484,329,122,1,,20374,0,20374,570,809,788,785,1961,953,916,863,717,2847,1243,1894,2030,1376,299,112,1,,18164,0,18164,57,95,88,93,296,121,104,106,80,419,159,240,204,108,30,10,0,,2210,0,2210
Admissions_CY_2014,546,699,907,812,2166,1003,944,953,826,2973,1281,1982,2083,1351,290,115,1,73,19005,0,19005,492,612,775,727,1907,868,842,841,753,2565,1140,1765,1893,1244,270,111,1,71,16877,0,16877,54,87,132,85,259,135,102,112,73,408,141,217,190,107,20,4,0,2,2128,0,2128
Admissions_CY_2015,489,667,896,803,1800,932,881,872,778,2442,1289,1891,2006,1492,260,114,6,67,17685,0,17685,437,591,775,709,1562,802,787,795,695,2113,1121,1655,1805,1379,243,107,6,63,15645,0,15645,52,76,121,94,238,130,94,77,83,329,168,236,201,113,17,7,0,4,2040,0,2040
Admissions_CY_2016,507,656,932,766,1904,939,866,879,775,2358,1286,1981,2128,1621,288,131,10,70,18097,0,18097,451,591,771,654,1624,811,755,782,710,2025,1142,1795,1928,1475,276,122,10,68,15990,0,15990,56,65,161,112,280,128,111,97,65,333,144,186,200,146,12,9,0,2,2107,0,2107
Admissions_CY_2017,539,644,938,714,1680,856,868,776,781,2125,1201,1924,2108,1647,256,112,6,62,17237,0,17236,480,570,771,612,1475,747,766,689,707,1840,1054,1724,1904,1504,241,108,6,61,15259,0,15259,58,74,167,102,205,109,102,87,74,285,147,200,204,143,15,4,0,1,1977,0,1977
Admissions_CY_2018,625,758,1052,852,1785,936,829,874,789,2195,1230,1925,2168,1797,276,141,6,37,18275,0,18275,552,649,855,714,1500,783,733,779,703,1884,1053,1728,1944,1631,264,134,6,34,15946,0,15946,73,109,197,138,285,153,96,95,86,311,177,197,224,166,12,7,0,3,2329,0,2329
