"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","386","4.24%","88.33%","51","4.33%","11.67%","437","4.25%"
"1.1 - 2","450","4.94%","89.82%","51","4.33%","10.18%","501","4.87%"
"2.1 - 3","601","6.59%","83.47%","119","10.11%","16.53%","720","7.00%"
"3.1 - 4","481","5.28%","87.77%","67","5.69%","12.23%","548","5.33%"
"4.1 - 5","877","9.62%","87.00%","131","11.13%","13.00%","1,008","9.80%"
"5.1 - 6","538","5.90%","88.93%","67","5.69%","11.07%","605","5.88%"
"6.1 - 7","447","4.91%","89.04%","55","4.67%","10.96%","502","4.88%"
"7.1 - 8","452","4.96%","89.86%","51","4.33%","10.14%","503","4.89%"
"8.1 - 9","410","4.50%","90.91%","41","3.48%","9.09%","451","4.38%"
"9.1 - 10","1,017","11.16%","85.53%","172","14.61%","14.47%","1,189","11.55%"
"10.1 - 12","699","7.67%","88.82%","88","7.48%","11.18%","787","7.65%"
"12.1 - 15","932","10.23%","89.70%","107","9.09%","10.30%","1,039","10.10%"
"15.1 - 20","999","10.96%","90.65%","103","8.75%","9.35%","1,102","10.71%"
"20.1 - Over","674","7.40%","90.84%","68","5.78%","9.16%","742","7.21%"
"Life","99","1.09%","94.29%","6","0.51%","5.71%","105","1.02%"
"Life Without Parole","35","0.38%","100.00%","0","","","35","0.34%"
"Death","6","0.07%","100.00%","0","","","6","0.06%"
"Youthful Offenders","10","0.11%","100.00%","0","","","10","0.10%"
"Total Reported","9,113","100%","88.56%","1,177","100%","11.44%","10,290","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","9,113","","","1,177","","","10,290",""
