"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","1,890","10.81%","96.28%","73","3.95%","3.72%","1,963","10.15%"
"Twenties","6,296","36.00%","91.81%","562","30.41%","8.19%","6,858","35.46%"
"Thirties","4,914","28.10%","88.30%","651","35.23%","11.70%","5,565","28.78%"
"Forties","3,376","19.30%","87.83%","468","25.32%","12.17%","3,844","19.88%"
"Fifties","864","4.94%","90.76%","88","4.76%","9.24%","952","4.92%"
"Sixties","136","0.78%","96.45%","5","0.27%","3.55%","141","0.73%"
"Seventy +","14","0.08%","93.33%","1","0.05%","6.67%","15","0.08%"
"Total Reported","17,490","100%","90.44%","1,848","100%","9.56%","19,338","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","17,490","","","1,848","","","19,338",""
