CY,teens_male_pop,teens_female_pop,teens_pop,twenties_male_pop,twenties_female_pop,twenties_pop,thirties_male_pop,thirties_female_pop,thirties_pop,forties_male_pop,forties_female_pop,forties_pop,fifties_male_pop,fifties_female_pop,fifties_pop,sixties_male_pop,sixties_female_pop,sixties_pop,70_plus_male_pop,70_plus_female_pop,70_plus_pop,current_age_reported_male,current_age_reported_female,current_age_reported,current_age_not_reported_male,current_age_not_reported_female,current_age_not_reported,total_male_pop,total_female_pop,total_pop,50_plus_yoa,50_plus_yoa_p
2005,796,47,843,5883,486,6369,4739,726,5465,3598,539,4137,986,107,1093,161,7,168,44,0,44,16207,1912,18119,0,0,0,16207,1912,18119,1305,7.20%
2006,741,46,787,5587,549,6136,4875,742,5617,3862,581,4443,1170,111,1281,205,11,216,37,2,39,16477,2042,18519,0,0,0,16477,2042,18519,1536,8.29%
2007,715,45,760,5956,567,6523,4945,738,5683,3960,619,4579,1322,133,1455,238,12,250,46,2,48,17182,2116,19298,0,0,0,17182,2116,19298,1753,9.08%
2008,159,8,167,6054,587,6641,5645,728,6373,4306,683,4989,1696,183,1879,315,14,329,62,2,64,18237,2205,20442,0,0,0,18237,2205,20442,2272,11.11%
2009,101,5,106,5657,509,6166,5868,819,6687,4443,693,5136,2079,245,2324,374,25,399,106,2,108,18628,2298,20926,71,0,71,18699,2298,20997,2831,13.53%
2010,212,10,222,6443,562,7005,5959,745,6704,4355,686,5041,2082,249,2331,382,25,407,71,2,73,19504,2279,21783,0,0,0,19504,2279,21783,2811,12.90%
2011,200,2,202,6353,505,6858,5929,685,6614,4149,618,4767,2164,238,2402,445,29,474,69,2,71,19309,2079,21388,2,0,2,19311,2079,21390,2947,13.78%
2012,161,2,163,5666,526,6192,5380,677,6057,3628,553,4181,2057,176,2233,383,27,410,71,8,79,17346,1969,19315,1,0,1,17347,1969,19316,2722,14.09%
2013,175,5,180,6333,490,6823,6027,713,6740,3914,579,4493,2118,258,2376,436,34,470,83,1,84,19086,2080,21166,0,0,0,19086,2080,21166,2930,13.84%
2014,128,5,133,5757,561,6318,5580,760,6340,3473,553,4026,2140,247,2387,482,33,515,77,5,82,17637,2164,19801,0,0,0,17637,2164,19801,2984,15.07%
2015,136,7,143,5101,505,5606,5079,729,5808,3123,436,3559,1887,247,2134,504,28,532,102,4,106,15932,1956,17888,0,0,0,15932,1956,17888,2772,15.50%
2016,99,2,101,4461,512,4973,4974,713,5687,2952,448,3400,1927,213,2140,505,43,548,86,4,90,15004,1935,16939,0,0,0,15004,1935,16939,2778,16.40%
2017,92,4,96,4499,488,4987,5196,715,5911,3024,485,3509,1885,208,2093,530,36,566,99,6,105,15325,1942,17267,1,0,1,15326,1942,17268,2764,16.01%
2018,93,4,97,4616,496,5112,5573,863,6436,3264,543,3807,2003,249,2252,621,36,657,161,5,166,16331,2196,18527,0,0,0,16331,2196,18527,3075,16.60%
2019,68,5,73,4235,515,4750,5403,808,6211,3280,497,3777,2074,245,2319,690,53,743,126,9,135,15876,2132,18008,0,0,0,15876,2132,18008,3197,17.75%
2020,71,5,76,4029,455,4484,5662,820,6482,3500,531,4031,2011,252,2263,743,61,804,153,10,163,16169,2134,18303,0,0,0,16169,2134,18303,3230,17.65%
2021,29,2,31,2907,280,3187,4232,581,4813,2791,329,3120,1650,181,1831,615,50,665,134,2,136,12358,1425,13783,0,0,0,12358,1425,13783,2632,19.10%
2022,25,1,26,2723,251,2974,4248,585,4833,2708,374,3082,1447,171,1618,645,43,688,137,3,140,11933,1428,13361,0,0,0,11933,1428,13361,2446,18.31%
2023,33,2,35,2593,259,2852,4161,577,4738,2712,381,3093,1583,196,1779,641,54,695,112,3,115,11835,1472,13307,0,0,0,11835,1472,13307,2589,19.46%
2024,41,4,45,2474,268,2742,4243,602,4845,2904,446,3350,1506,181,1687,693,67,760,151,3,154,12012,1571,13583,0,0,0,12012,1571,13583,2601,19.15%
2025,37,2,39,2315,271,2586,4149,605,4754,2965,429,3394,1670,219,1889,784,68,852,198,12,210,12118,1606,13724,0,0,0,12118,12118,13724,2951,21.50%
