"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","793","3.90%","97.66%","19","0.89%","2.34%","812","3.62%"
"Twenties (20-29)","7,766","38.23%","92.36%","642","30.11%","7.64%","8,408","37.46%"
"Thirties (30-39)","5,794","28.52%","89.06%","712","33.40%","10.94%","6,506","28.99%"
"Forties (40-49)","3,752","18.47%","87.15%","553","25.94%","12.85%","4,305","19.18%"
"Fifties (50-59)","1,849","9.10%","90.82%","187","8.77%","9.18%","2,036","9.07%"
"Sixties (60-69)","316","1.56%","94.33%","19","0.89%","5.67%","335","1.49%"
"Seventy + (70 and above)","43","0.21%","100.00%","0","","","43","0.19%"
"Total Reported","20,313","100%","90.50%","2,132","100%","9.50%","22,445","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","20,313","","","2,132","","","22,445",""
