"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","33","0.28%","94.29%","2","0.14%","5.71%","35","0.26%"
"Twenties (20-29)","2,593","21.91%","90.92%","259","17.60%","9.08%","2,852","21.43%"
"Thirties (30-39)","4,161","35.16%","87.82%","577","39.20%","12.18%","4,738","35.61%"
"Forties (40-49)","2,712","22.92%","87.68%","381","25.88%","12.32%","3,093","23.24%"
"Fifties (50-59)","1,583","13.38%","88.98%","196","13.32%","11.02%","1,779","13.37%"
"Sixties (60-69)","641","5.42%","92.23%","54","3.67%","7.77%","695","5.22%"
"Seventy + (70 and above)","112","0.95%","97.39%","3","0.20%","2.61%","115","0.86%"
"Total Reported","11,835","100%","88.94%","1,472","100%","11.06%","13,307","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","11,835","","","1,472","","","13,307",""
