"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","796","4.91%","94.42%","47","2.46%","5.58%","843","4.65%"
"Twenties","5,883","36.30%","92.37%","486","25.42%","7.63%","6,369","35.15%"
"Thirties","4,739","29.24%","86.72%","726","37.97%","13.28%","5,465","30.16%"
"Forties","3,598","22.20%","86.97%","539","28.19%","13.03%","4,137","22.83%"
"Fifties","986","6.08%","90.21%","107","5.60%","9.79%","1,093","6.03%"
"Sixties","161","0.99%","95.83%","7","0.37%","4.17%","168","0.93%"
"Seventy +","44","0.27%","100.00%","0","","","44","0.24%"
"Total Reported","16,207","100%","89.45%","1,912","100%","10.55%","18,119","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,207","","","1,912","","","18,119",""
