"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","68","0.43%","93.15%","5","0.23%","6.85%","73","0.41%"
"Twenties (20-29)","4,235","26.68%","89.16%","515","24.16%","10.84%","4,750","26.38%"
"Thirties (30-39)","5,403","34.03%","86.99%","808","37.90%","13.01%","6,211","34.49%"
"Forties (40-49)","3,280","20.66%","86.84%","497","23.31%","13.16%","3,777","20.97%"
"Fifties (50-59)","2,074","13.06%","89.44%","245","11.49%","10.56%","2,319","12.88%"
"Sixties (60-69)","690","4.35%","92.87%","53","2.49%","7.13%","743","4.13%"
"Seventy + (70 and above)","126","0.79%","93.33%","9","0.42%","6.67%","135","0.75%"
"Total Reported","15,876","100%","88.16%","2,132","100%","11.84%","18,008","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,876","","","2,132","","","18,008",""
