"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","41","0.34%","91.11%","4","0.25%","8.89%","45","0.33%"
"Twenties (20-29)","2,474","20.60%","90.23%","268","17.06%","9.77%","2,742","20.19%"
"Thirties (30-39)","4,243","35.32%","87.57%","602","38.32%","12.43%","4,845","35.67%"
"Forties (40-49)","2,904","24.18%","86.69%","446","28.39%","13.31%","3,350","24.66%"
"Fifties (50-59)","1,506","12.54%","89.27%","181","11.52%","10.73%","1,687","12.42%"
"Sixties (60-69)","693","5.77%","91.18%","67","4.26%","8.82%","760","5.60%"
"Seventy + (70 and above)","151","1.26%","98.05%","3","0.19%","1.95%","154","1.13%"
"Total Reported","12,012","100%","88.43%","1,571","100%","11.57%","13,583","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,012","","","1,571","","","13,583",""
