"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","468","2.93%","93.04%","35","1.50%","6.96%","503","2.75%"
"Twenties (20-29)","5,299","33.23%","89.19%","642","27.57%","10.81%","5,941","32.51%"
"Thirties (30-39)","5,110","32.05%","85.48%","868","37.27%","14.52%","5,978","32.71%"
"Forties (40-49)","2,904","18.21%","84.66%","526","22.58%","15.34%","3,430","18.77%"
"Fifties (50-59)","1,711","10.73%","88.84%","215","9.23%","11.16%","1,926","10.54%"
"Sixties (60-69)","396","2.48%","91.45%","37","1.59%","8.55%","433","2.37%"
"Seventy + (70 and above)","58","0.36%","90.63%","6","0.26%","9.38%","64","0.35%"
"Total Reported","15,946","100%","87.26%","2,329","100%","12.74%","18,275","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,946","","","2,329","","","18,275",""
