"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","99","0.66%","98.02%","2","0.10%","1.98%","101","0.60%"
"Twenties (20-29)","4,461","29.73%","89.70%","512","26.46%","10.30%","4,973","29.36%"
"Thirties (30-39)","4,974","33.15%","87.46%","713","36.85%","12.54%","5,687","33.57%"
"Forties (40-49)","2,952","19.67%","86.82%","448","23.15%","13.18%","3,400","20.07%"
"Fifties (50-59)","1,927","12.84%","90.05%","213","11.01%","9.95%","2,140","12.63%"
"Sixties (60-69)","505","3.37%","92.15%","43","2.22%","7.85%","548","3.24%"
"Seventy + (70 and above)","86","0.57%","95.56%","4","0.21%","4.44%","90","0.53%"
"Total Reported","15,004","100%","88.58%","1,935","100%","11.42%","16,939","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,004","","","1,935","","","16,939",""
