"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","29","0.23%","93.55%","2","0.14%","6.45%","31","0.22%"
"Twenties (20-29)","2,907","23.52%","91.21%","280","19.65%","8.79%","3,187","23.12%"
"Thirties (30-39)","4,232","34.25%","87.93%","581","40.77%","12.07%","4,813","34.92%"
"Forties (40-49)","2,791","22.58%","89.46%","329","23.09%","10.54%","3,120","22.64%"
"Fifties (50-59)","1,650","13.35%","90.11%","181","12.70%","9.89%","1,831","13.28%"
"Sixties (60-69)","615","4.98%","92.48%","50","3.51%","7.52%","665","4.82%"
"Seventy + (70 and above)","134","1.08%","98.53%","2","0.14%","1.47%","136","0.99%"
"Total Reported","12,358","100%","89.66%","1,425","100%","10.34%","13,783","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,358","","","1,425","","","13,783",""
