"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","71","0.44%","93.42%","5","0.23%","6.58%","76","0.42%"
"Twenties (20-29)","4,029","24.92%","89.85%","455","21.32%","10.15%","4,484","24.50%"
"Thirties (30-39)","5,662","35.02%","87.35%","820","38.43%","12.65%","6,482","35.41%"
"Forties (40-49)","3,500","21.65%","86.83%","531","24.88%","13.17%","4,031","22.02%"
"Fifties (50-59)","2,011","12.44%","88.86%","252","11.81%","11.14%","2,263","12.36%"
"Sixties (60-69)","743","4.60%","92.41%","61","2.86%","7.59%","804","4.39%"
"Seventy + (70 and above)","153","0.95%","93.87%","10","0.47%","6.13%","163","0.89%"
"Total Reported","16,169","100%","88.34%","2,134","100%","11.66%","18,303","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,169","","","2,134","","","18,303",""
