CY,teens_male_pop,teens_female_pop,teens_pop,twenties_male_pop,twenties_female_pop,twenties_pop,thirties_male_pop,thirties_female_pop,thirties_pop,forties_male_pop,forties_female_pop,forties_pop,fifties_male_pop,fifties_female_pop,fifties_pop,sixties_male_pop,sixties_female_pop,sixties_pop,70_plus_male_pop,70_plus_female_pop,70_plus_pop,current_age_reported_male,current_age_reported_female,current_age_reported,current_age_not_reported_male,current_age_not_reported_female,current_age_not_reported,total_male_pop,total_female_pop,total_pop,50_plus_yoa,50_plus_yoa_p
2005,1890,73,1963,6296,562,6858,4914,651,5565,3376,468,3844,864,88,952,136,5,141,14,1,15,17490,1848,19338,0,0,0,17490,1848,19338,1108,5.73%
2006,2006,124,2130,6927,774,7701,5376,943,6319,4014,704,4718,1122,135,1257,143,9,152,24,2,26,19612,2691,22303,0,0,0,19612,2691,22303,1435,6.43%
2007,2110,113,2223,6715,621,7336,5044,726,5770,3876,588,4464,1106,101,1207,146,4,150,21,0,21,19018,2153,21171,0,0,0,19018,2153,21171,1378,6.51%
2008,760,31,791,6381,707,7088,4399,787,5186,3332,637,3969,1228,155,1383,181,16,197,26,1,27,16307,2334,18641,0,0,0,16307,2334,18641,1607,8.62%
2009,842,37,879,7478,727,8205,5195,739,5934,3756,633,4389,1494,195,1689,235,13,248,36,0,36,19036,2344,21380,0,0,0,19036,2344,21380,1973,9.23%
2010,808,22,830,7146,672,7818,4875,730,5605,3421,581,4002,1516,166,1682,221,24,245,28,3,31,18015,2198,20213,0,0,0,18015,2198,20213,1958,9.69%
2011,772,18,790,7303,586,7889,5400,629,6029,3604,528,4132,1707,166,1873,281,22,303,36,3,39,19103,1952,21055,0,0,0,19103,1952,21055,2215,10.52%
2012,793,19,812,7766,642,8408,5794,712,6506,3752,553,4305,1849,187,2036,316,19,335,43,0,43,20313,2132,22445,0,0,0,20313,2132,22445,2414,10.76%
2013,678,31,709,7042,674,7716,5271,731,6002,3226,548,3774,1576,197,1773,327,28,355,44,1,45,18164,2210,20374,0,0,0,18164,2210,20374,2173,10.67%
2014,537,20,557,6404,659,7063,5115,742,5857,2961,463,3424,1510,222,1732,307,21,328,43,1,44,16877,2128,19005,0,0,0,16877,2128,19005,2104,11.07%
2015,465,19,484,5824,600,6424,4839,761,5600,2667,431,3098,1488,199,1687,324,24,348,38,6,44,15645,2040,17685,0,0,0,15645,2040,17685,2079,11.76%
2016,530,19,549,5683,632,6315,4970,784,5754,2808,449,3257,1592,191,1783,359,27,386,48,5,53,15990,2107,18097,0,0,0,15990,2107,18097,2222,12.28%
2017,498,20,518,5252,594,5846,4879,738,5617,2671,435,3106,1548,163,1711,354,26,380,57,1,58,15259,1977,17236,0,0,0,15259,1977,17236,2149,12.47%
2018,468,35,503,5299,642,5941,5110,868,5978,2904,526,3430,1711,215,1926,396,37,433,58,6,64,15946,2329,18275,0,0,0,15946,2329,18275,2423,13.26%
2019,443,26,469,5303,626,5929,5424,828,6252,3205,489,3694,1763,219,1982,526,42,568,70,3,73,16734,2233,18967,0,0,0,16734,2233,18967,2623,13.83%
2020,177,11,188,2773,311,3084,3145,450,3595,1824,258,2082,900,126,1026,264,19,283,30,2,32,9113,1177,10290,0,0,0,9113,1177,10290,1341,13.03%
2021,207,6,213,3579,299,3878,4163,571,4734,2528,337,2865,1267,141,1408,423,30,453,59,1,60,12226,1385,13611,0,0,0,12226,1385,13611,1921,14.11%
2022,229,22,251,3674,405,4079,4442,673,5115,2741,419,3160,1443,172,1615,477,44,521,85,2,87,13091,1737,14828,0,0,0,13091,1737,14828,2223,14.99%
2023,249,18,267,3696,360,4056,4460,683,5143,2926,458,3384,1536,188,1724,524,45,569,75,2,77,13466,1754,15220,0,0,0,13466,1754,15220,2370,15.57%
2024,272,15,287,3410,389,3799,4216,651,4867,2825,408,3233,1417,190,1607,590,62,652,92,4,96,12822,1719,14541,0,0,0,12822,1719,14541,2355,16.20%
2025,225,12,237,3067,393,3460,3917,727,4644,2791,455,3246,1385,217,1602,591,63,654,98,5,103,12074,1872,13946,0,0,0,12074,12074,13946,2359,16.92%
