"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","128","0.73%","96.24%","5","0.23%","3.76%","133","0.67%"
"Twenties (20-29)","5,757","32.64%","91.12%","561","25.92%","8.88%","6,318","31.91%"
"Thirties (30-39)","5,580","31.64%","88.01%","760","35.12%","11.99%","6,340","32.02%"
"Forties (40-49)","3,473","19.69%","86.26%","553","25.55%","13.74%","4,026","20.33%"
"Fifties (50-59)","2,140","12.13%","89.65%","247","11.41%","10.35%","2,387","12.05%"
"Sixties (60-69)","482","2.73%","93.59%","33","1.52%","6.41%","515","2.60%"
"Seventy + (70 and above)","77","0.44%","93.90%","5","0.23%","6.10%","82","0.41%"
"Total Reported","17,637","100%","89.07%","2,164","100%","10.93%","19,801","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","17,637","","","2,164","","","19,801",""
