"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","177","1.94%","94.15%","11","0.93%","5.85%","188","1.83%"
"Twenties (20-29)","2,773","30.43%","89.92%","311","26.42%","10.08%","3,084","29.97%"
"Thirties (30-39)","3,145","34.51%","87.48%","450","38.23%","12.52%","3,595","34.94%"
"Forties (40-49)","1,824","20.02%","87.61%","258","21.92%","12.39%","2,082","20.23%"
"Fifties (50-59)","900","9.88%","87.72%","126","10.71%","12.28%","1,026","9.97%"
"Sixties (60-69)","264","2.90%","93.29%","19","1.61%","6.71%","283","2.75%"
"Seventy + (70 and above)","30","0.33%","93.75%","2","0.17%","6.25%","32","0.31%"
"Total Reported","9,113","100%","88.56%","1,177","100%","11.44%","10,290","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","9,113","","","1,177","","","10,290",""
