"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","498","3.26%","96.14%","20","1.01%","3.86%","518","3.01%"
"Twenties (20-29)","5,252","34.42%","89.84%","594","30.05%","10.16%","5,846","33.92%"
"Thirties (30-39)","4,879","31.97%","86.86%","738","37.33%","13.14%","5,617","32.59%"
"Forties (40-49)","2,671","17.50%","85.99%","435","22.00%","14.01%","3,106","18.02%"
"Fifties (50-59)","1,548","10.14%","90.47%","163","8.24%","9.53%","1,711","9.93%"
"Sixties (60-69)","354","2.32%","93.16%","26","1.32%","6.84%","380","2.20%"
"Seventy + (70 and above)","57","0.37%","98.28%","1","0.05%","1.72%","58","0.34%"
"Total Reported","15,259","100%","88.53%","1,977","100%","11.47%","17,236","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,259","","","1,977","","","17,236",""
