"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","212","1.09%","95.50%","10","0.44%","4.50%","222","1.02%"
"Twenties (20-29)","6,443","33.03%","91.98%","562","24.66%","8.02%","7,005","32.16%"
"Thirties (30-39)","5,959","30.55%","88.89%","745","32.69%","11.11%","6,704","30.78%"
"Forties (40-49)","4,355","22.33%","86.39%","686","30.10%","13.61%","5,041","23.14%"
"Fifties (50-59)","2,082","10.67%","89.32%","249","10.93%","10.68%","2,331","10.70%"
"Sixties (60-69)","382","1.96%","93.86%","25","1.10%","6.14%","407","1.87%"
"Seventy + (70 and above)","71","0.36%","97.26%","2","0.09%","2.74%","73","0.34%"
"Total Reported","19,504","100%","89.54%","2,279","100%","10.46%","21,783","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,504","","","2,279","","","21,783",""
