"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","808","4.49%","97.35%","22","1.00%","2.65%","830","4.11%"
"Twenties (20-29)","7,146","39.67%","91.40%","672","30.57%","8.60%","7,818","38.68%"
"Thirties (30-39)","4,875","27.06%","86.98%","730","33.21%","13.02%","5,605","27.73%"
"Forties (40-49)","3,421","18.99%","85.48%","581","26.43%","14.52%","4,002","19.80%"
"Fifties (50-59)","1,516","8.42%","90.13%","166","7.55%","9.87%","1,682","8.32%"
"Sixties (60-69)","221","1.23%","90.20%","24","1.09%","9.80%","245","1.21%"
"Seventy + (70 and above)","28","0.16%","90.32%","3","0.14%","9.68%","31","0.15%"
"Total Reported","18,015","100%","89.13%","2,198","100%","10.87%","20,213","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,015","","","2,198","","","20,213",""
