"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","93","0.57%","95.88%","4","0.18%","4.12%","97","0.52%"
"Twenties (20-29)","4,616","28.27%","90.30%","496","22.59%","9.70%","5,112","27.59%"
"Thirties (30-39)","5,573","34.13%","86.59%","863","39.30%","13.41%","6,436","34.74%"
"Forties (40-49)","3,264","19.99%","85.74%","543","24.73%","14.26%","3,807","20.55%"
"Fifties (50-59)","2,003","12.27%","88.94%","249","11.34%","11.06%","2,252","12.16%"
"Sixties (60-69)","621","3.80%","94.52%","36","1.64%","5.48%","657","3.55%"
"Seventy + (70 and above)","161","0.99%","96.99%","5","0.23%","3.01%","166","0.90%"
"Total Reported","16,331","100%","88.15%","2,196","100%","11.85%","18,527","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,331","","","2,196","","","18,527",""
