"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","207","1.69%","97.18%","6","0.43%","2.82%","213","1.56%"
"Twenties (20-29)","3,579","29.27%","92.29%","299","21.59%","7.71%","3,878","28.49%"
"Thirties (30-39)","4,163","34.05%","87.94%","571","41.23%","12.06%","4,734","34.78%"
"Forties (40-49)","2,528","20.68%","88.24%","337","24.33%","11.76%","2,865","21.05%"
"Fifties (50-59)","1,267","10.36%","89.99%","141","10.18%","10.01%","1,408","10.34%"
"Sixties (60-69)","423","3.46%","93.38%","30","2.17%","6.62%","453","3.33%"
"Seventy + (70 and above)","59","0.48%","98.33%","1","0.07%","1.67%","60","0.44%"
"Total Reported","12,226","100%","89.82%","1,385","100%","10.18%","13,611","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,226","","","1,385","","","13,611",""
