"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","200","1.04%","99.01%","2","0.10%","0.99%","202","0.94%"
"Twenties (20-29)","6,353","32.90%","92.64%","505","24.29%","7.36%","6,858","32.06%"
"Thirties (30-39)","5,929","30.71%","89.64%","685","32.95%","10.36%","6,614","30.92%"
"Forties (40-49)","4,149","21.49%","87.04%","618","29.73%","12.96%","4,767","22.29%"
"Fifties (50-59)","2,164","11.21%","90.09%","238","11.45%","9.91%","2,402","11.23%"
"Sixties (60-69)","445","2.30%","93.88%","29","1.39%","6.12%","474","2.22%"
"Seventy + (70 and above)","69","0.36%","97.18%","2","0.10%","2.82%","71","0.33%"
"Total Reported","19,309","100%","90.28%","2,079","100%","9.72%","21,388","100%"
"Not Reported","2","","","0","","","2",""
"Grand Total","19,311","","","2,079","","","21,390",""
