"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","760","4.66%","96.08%","31","1.33%","3.92%","791","4.24%"
"Twenties (20-29)","6,381","39.13%","90.03%","707","30.29%","9.97%","7,088","38.02%"
"Thirties (30-39)","4,399","26.98%","84.82%","787","33.72%","15.18%","5,186","27.82%"
"Forties (40-49)","3,332","20.43%","83.95%","637","27.29%","16.05%","3,969","21.29%"
"Fifties (50-59)","1,228","7.53%","88.79%","155","6.64%","11.21%","1,383","7.42%"
"Sixties (60-69)","181","1.11%","91.88%","16","0.69%","8.12%","197","1.06%"
"Seventy + (70 and above)","26","0.16%","96.30%","1","0.04%","3.70%","27","0.14%"
"Total Reported","16,307","100%","87.48%","2,334","100%","12.52%","18,641","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,307","","","2,334","","","18,641",""
