"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","12,223","67.37%","90.48%","1,286","58.24%","9.52%","13,509","66.38%"
"1 to 1.99 years","2,517","13.87%","87.15%","371","16.80%","12.85%","2,888","14.19%"
"2 to 2.99 years","1,223","6.74%","87.36%","177","8.02%","12.64%","1,400","6.88%"
"3 to 3.99 years","832","4.59%","86.31%","132","5.98%","13.69%","964","4.74%"
"4 to 4.99 years","517","2.85%","86.17%","83","3.76%","13.83%","600","2.95%"
"5 to 5.99 years","310","1.71%","85.64%","52","2.36%","14.36%","362","1.78%"
"6 to 6.99 years","186","1.03%","85.71%","31","1.40%","14.29%","217","1.07%"
"7 to 7.99 years","140","0.77%","81.87%","31","1.40%","18.13%","171","0.84%"
"8 to 8.99 years","88","0.49%","82.24%","19","0.86%","17.76%","107","0.53%"
"9 to 9.99 years","53","0.29%","76.81%","16","0.72%","23.19%","69","0.34%"
"10 to 10.99 years","24","0.13%","85.71%","4","0.18%","14.29%","28","0.14%"
"11 to 11.99 years","11","0.06%","84.62%","2","0.09%","15.38%","13","0.06%"
"12 to 12.99 years","11","0.06%","84.62%","2","0.09%","15.38%","13","0.06%"
"13 to 13.99 years","6","0.03%","75.00%","2","0.09%","25.00%","8","0.04%"
"14 to 14.99 years","1","0.01%","100.00%","","","","1","0.01%"
"16 to 16.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","18,143","100%","89.15%","2,208","100%","10.85%","20,351","100.0%"
"Not Reported","21","","","2","","","23",""
"Grand Total","18,164","","","2,210","","","20,374",""
