"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,429","21.21%","87.70%","481","22.54%","12.30%","3,910","21.36%"
"1 to 1.99 years","3,896","24.10%","87.85%","539","25.26%","12.15%","4,435","24.23%"
"2 to 2.99 years","2,515","15.55%","87.24%","368","17.24%","12.76%","2,883","15.75%"
"3 to 3.99 years","1,539","9.52%","88.55%","199","9.33%","11.45%","1,738","9.50%"
"4 to 4.99 years","1,193","7.38%","88.63%","153","7.17%","11.37%","1,346","7.35%"
"5 to 5.99 years","758","4.69%","88.04%","103","4.83%","11.96%","861","4.70%"
"6 to 6.99 years","505","3.12%","88.13%","68","3.19%","11.87%","573","3.13%"
"7 to 7.99 years","397","2.46%","87.64%","56","2.62%","12.36%","453","2.48%"
"8 to 8.99 years","378","2.34%","88.73%","48","2.25%","11.27%","426","2.33%"
"9 to 9.99 years","386","2.39%","90.61%","40","1.87%","9.39%","426","2.33%"
"10 to 10.99 years","198","1.22%","91.67%","18","0.84%","8.33%","216","1.18%"
"11 to 11.99 years","161","1.00%","93.60%","11","0.52%","6.40%","172","0.94%"
"12 to 12.99 years","121","0.75%","90.98%","12","0.56%","9.02%","133","0.73%"
"13 to 13.99 years","102","0.63%","95.33%","5","0.23%","4.67%","107","0.58%"
"14 to 14.99 years","77","0.48%","96.25%","3","0.14%","3.75%","80","0.44%"
"15 to 15.99 years","102","0.63%","95.33%","5","0.23%","4.67%","107","0.58%"
"16 to 16.99 years","29","0.18%","90.63%","3","0.14%","9.38%","32","0.17%"
"17 to 17.99 years","29","0.18%","96.67%","1","0.05%","3.33%","30","0.16%"
"18 to 18.99 years","33","0.20%","97.06%","1","0.05%","2.94%","34","0.19%"
"19 to 19.99 years","23","0.14%","88.46%","3","0.14%","11.54%","26","0.14%"
"20 to 20.99 years","77","0.48%","93.90%","5","0.23%","6.10%","82","0.45%"
"21 to 21.99 years","20","0.12%","90.91%","2","0.09%","9.09%","22","0.12%"
"22 to 22.99 years","17","0.11%","100.00%","","","","17","0.09%"
"23 to 23.99 years","22","0.14%","100.00%","","","","22","0.12%"
"24 to 24.99 years","13","0.08%","86.67%","2","0.09%","13.33%","15","0.08%"
"25 to 25.99 years","20","0.12%","86.96%","3","0.14%","13.04%","23","0.13%"
"26 to 26.99 years","12","0.07%","85.71%","2","0.09%","14.29%","14","0.08%"
"27 to 27.99 years","17","0.11%","100.00%","","","","17","0.09%"
"28 to 28.99 years","12","0.07%","92.31%","1","0.05%","7.69%","13","0.07%"
"29 to 29.99 years","15","0.09%","88.24%","2","0.09%","11.76%","17","0.09%"
"Thirty + years","73","0.45%","100.00%","","","","73","0.40%"
"Total Reported","16,169","100%","88.34%","2,134","100%","11.66%","18,303","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,169","","","2,134","","","18,303",""
