"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,684","23.12%","88.16%","495","25.32%","11.84%","4,179","23.36%"
"1 to 1.99 years","3,413","21.42%","88.76%","432","22.10%","11.24%","3,845","21.50%"
"2 to 2.99 years","2,394","15.03%","88.14%","322","16.47%","11.86%","2,716","15.18%"
"3 to 3.99 years","1,726","10.83%","88.15%","232","11.87%","11.85%","1,958","10.95%"
"4 to 4.99 years","1,333","8.37%","89.70%","153","7.83%","10.30%","1,486","8.31%"
"5 to 5.99 years","757","4.75%","89.06%","93","4.76%","10.94%","850","4.75%"
"6 to 6.99 years","589","3.70%","89.11%","72","3.68%","10.89%","661","3.70%"
"7 to 7.99 years","432","2.71%","89.81%","49","2.51%","10.19%","481","2.69%"
"8 to 8.99 years","236","1.48%","90.77%","24","1.23%","9.23%","260","1.45%"
"9 to 9.99 years","243","1.53%","90.67%","25","1.28%","9.33%","268","1.50%"
"10 to 10.99 years","338","2.12%","94.68%","19","0.97%","5.32%","357","2.00%"
"11 to 11.99 years","88","0.55%","91.67%","8","0.41%","8.33%","96","0.54%"
"12 to 12.99 years","96","0.60%","94.12%","6","0.31%","5.88%","102","0.57%"
"13 to 13.99 years","46","0.29%","88.46%","6","0.31%","11.54%","52","0.29%"
"14 to 14.99 years","51","0.32%","94.44%","3","0.15%","5.56%","54","0.30%"
"15 to 15.99 years","120","0.75%","95.24%","6","0.31%","4.76%","126","0.70%"
"16 to 16.99 years","32","0.20%","96.97%","1","0.05%","3.03%","33","0.18%"
"17 to 17.99 years","31","0.19%","100.00%","","","","31","0.17%"
"18 to 18.99 years","28","0.18%","90.32%","3","0.15%","9.68%","31","0.17%"
"19 to 19.99 years","41","0.26%","100.00%","","","","41","0.23%"
"20 to 20.99 years","93","0.58%","97.89%","2","0.10%","2.11%","95","0.53%"
"21 to 21.99 years","15","0.09%","88.24%","2","0.10%","11.76%","17","0.10%"
"22 to 22.99 years","16","0.10%","88.89%","2","0.10%","11.11%","18","0.10%"
"23 to 23.99 years","14","0.09%","100.00%","","","","14","0.08%"
"24 to 24.99 years","14","0.09%","100.00%","","","","14","0.08%"
"25 to 25.99 years","18","0.11%","100.00%","","","","18","0.10%"
"26 to 26.99 years","17","0.11%","100.00%","","","","17","0.10%"
"27 to 27.99 years","12","0.08%","100.00%","","","","12","0.07%"
"28 to 28.99 years","7","0.04%","100.00%","","","","7","0.04%"
"29 to 29.99 years","8","0.05%","100.00%","","","","8","0.04%"
"Thirty + years","40","0.25%","100.00%","","","","40","0.22%"
"Total Reported","15,932","100%","89.07%","1,955","100%","10.93%","17,887","100%"
"Not Reported","0","","","1","","","1",""
"Grand Total","15,932","","","1,956","","","17,888",""
