"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,170","17.58%","84.49%","582","26.65%","15.51%","3,752","18.56%"
"1 to 1.99 years","5,412","30.01%","86.61%","837","38.32%","13.39%","6,249","30.91%"
"2 to 2.99 years","4,007","22.22%","90.43%","424","19.41%","9.57%","4,431","21.92%"
"3 to 3.99 years","1,986","11.01%","92.50%","161","7.37%","7.50%","2,147","10.62%"
"4 to 4.99 years","843","4.67%","93.46%","59","2.70%","6.54%","902","4.46%"
"5 to 5.99 years","649","3.60%","95.16%","33","1.51%","4.84%","682","3.37%"
"6 to 6.99 years","307","1.70%","95.34%","15","0.69%","4.66%","322","1.59%"
"7 to 7.99 years","244","1.35%","95.69%","11","0.50%","4.31%","255","1.26%"
"8 to 8.99 years","207","1.15%","93.24%","15","0.69%","6.76%","222","1.10%"
"9 to 9.99 years","173","0.96%","95.05%","9","0.41%","4.95%","182","0.90%"
"10 to 10.99 years","476","2.64%","96.95%","15","0.69%","3.05%","491","2.43%"
"11 to 11.99 years","77","0.43%","96.25%","3","0.14%","3.75%","80","0.40%"
"12 to 12.99 years","95","0.53%","97.94%","2","0.09%","2.06%","97","0.48%"
"13 to 13.99 years","46","0.26%","93.88%","3","0.14%","6.12%","49","0.24%"
"14 to 14.99 years","46","0.26%","93.88%","3","0.14%","6.12%","49","0.24%"
"15 to 15.99 years","101","0.56%","93.52%","7","0.32%","6.48%","108","0.53%"
"16 to 16.99 years","25","0.14%","100.00%","","","","25","0.12%"
"17 to 17.99 years","22","0.12%","91.67%","2","0.09%","8.33%","24","0.12%"
"18 to 18.99 years","22","0.12%","95.65%","1","0.05%","4.35%","23","0.11%"
"19 to 19.99 years","19","0.11%","100.00%","","","","19","0.09%"
"20 to 20.99 years","44","0.24%","97.78%","1","0.05%","2.22%","45","0.22%"
"21 to 21.99 years","10","0.06%","100.00%","","","","10","0.05%"
"22 to 22.99 years","4","0.02%","100.00%","","","","4","0.02%"
"23 to 23.99 years","9","0.05%","100.00%","","","","9","0.04%"
"24 to 24.99 years","2","0.01%","100.00%","","","","2","0.01%"
"25 to 25.99 years","8","0.04%","100.00%","","","","8","0.04%"
"26 to 26.99 years","7","0.04%","87.50%","1","0.05%","12.50%","8","0.04%"
"27 to 27.99 years","3","0.02%","100.00%","","","","3","0.01%"
"28 to 28.99 years","6","0.03%","100.00%","","","","6","0.03%"
"29 to 29.99 years","5","0.03%","100.00%","","","","5","0.02%"
"Thirty + years","9","0.05%","100.00%","","","","9","0.04%"
"Total Reported","18,034","100%","89.20%","2,184","100%","10.80%","20,218","100%"
"Not Reported","203","","","21","","","224",""
"Grand Total","18,237","","","2,205","","","20,442",""
