"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","2,568","21.52%","88.34%","339","23.74%","11.66%","2,907","21.76%"
"1 to 1.99 years","2,211","18.53%","89.73%","253","17.72%","10.27%","2,464","18.44%"
"2 to 2.99 years","1,718","14.40%","87.08%","255","17.86%","12.92%","1,973","14.77%"
"3 to 3.99 years","1,352","11.33%","87.11%","200","14.01%","12.89%","1,552","11.62%"
"4 to 4.99 years","1,051","8.81%","89.68%","120","8.40%","10.24%","1,172","8.77%"
"5 to 5.99 years","604","5.06%","90.01%","67","4.69%","9.99%","671","5.02%"
"6 to 6.99 years","421","3.53%","90.54%","44","3.08%","9.46%","465","3.48%"
"7 to 7.99 years","325","2.72%","89.53%","38","2.66%","10.47%","363","2.72%"
"8 to 8.99 years","282","2.36%","93.07%","21","1.47%","6.93%","303","2.27%"
"9 to 9.99 years","362","3.03%","92.82%","28","1.96%","7.18%","390","2.92%"
"10 to 10.99 years","197","1.65%","93.36%","14","0.98%","6.64%","211","1.58%"
"11 to 11.99 years","131","1.10%","90.97%","13","0.91%","9.03%","144","1.08%"
"12 to 12.99 years","93","0.78%","92.08%","8","0.56%","7.92%","101","0.76%"
"13 to 13.99 years","55","0.46%","87.30%","8","0.56%","12.70%","63","0.47%"
"14 to 14.99 years","64","0.54%","95.52%","3","0.21%","4.48%","67","0.50%"
"15 to 15.99 years","112","0.94%","98.25%","2","0.14%","1.75%","114","0.85%"
"16 to 16.99 years","36","0.30%","97.30%","1","0.07%","2.70%","37","0.28%"
"17 to 17.99 years","41","0.34%","100.00%","","","","41","0.31%"
"18 to 18.99 years","22","0.18%","95.65%","1","0.07%","4.35%","23","0.17%"
"19 to 19.99 years","41","0.34%","100.00%","","","","41","0.31%"
"20 to 20.99 years","69","0.58%","94.52%","4","0.28%","5.48%","73","0.55%"
"21 to 21.99 years","10","0.08%","100.00%","","","","10","0.07%"
"22 to 22.99 years","14","0.12%","87.50%","2","0.14%","12.50%","16","0.12%"
"23 to 23.99 years","12","0.10%","92.31%","1","0.07%","7.69%","13","0.10%"
"24 to 24.99 years","11","0.09%","91.67%","1","0.07%","8.33%","12","0.09%"
"25 to 25.99 years","20","0.17%","100.00%","","","","20","0.15%"
"26 to 26.99 years","19","0.16%","90.48%","2","0.14%","9.52%","21","0.16%"
"27 to 27.99 years","18","0.15%","100.00%","","","","18","0.13%"
"28 to 28.99 years","16","0.13%","88.89%","2","0.14%","11.11%","18","0.13%"
"29 to 29.99 years","5","0.04%","100.00%","","","","5","0.04%"
"Thirty + years","52","0.44%","98.11%","1","0.07%","1.89%","53","0.40%"
"Total Reported","11,932","100%","89.30%","1,428","100%","10.69%","13,361","100.0%"
"Not Reported","1","","","0","","","1",""
"Grand Total","11,933","","","1,428","","","13,362",""
