"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,835","67.96%","89.09%","1,327","56.98%","10.91%","12,162","66.56%"
"1 to 1.99 years","1,804","11.31%","84.85%","322","13.83%","15.15%","2,126","11.63%"
"2 to 2.99 years","1,096","6.87%","81.61%","247","10.61%","18.39%","1,343","7.35%"
"3 to 3.99 years","748","4.69%","82.93%","154","6.61%","17.07%","902","4.94%"
"4 to 4.99 years","534","3.35%","86.41%","84","3.61%","13.59%","618","3.38%"
"5 to 5.99 years","294","1.84%","80.99%","69","2.96%","19.01%","363","1.99%"
"6 to 6.99 years","205","1.29%","84.36%","38","1.63%","15.64%","243","1.33%"
"7 to 7.99 years","148","0.93%","82.68%","31","1.33%","17.32%","179","0.98%"
"8 to 8.99 years","101","0.63%","83.47%","20","0.86%","16.53%","121","0.66%"
"9 to 9.99 years","84","0.53%","83.17%","17","0.73%","16.83%","101","0.55%"
"10 to 10.99 years","34","0.21%","75.56%","11","0.47%","24.44%","45","0.25%"
"11 to 11.99 years","17","0.11%","70.83%","7","0.30%","29.17%","24","0.13%"
"12 to 12.99 years","18","0.11%","94.74%","1","0.04%","5.26%","19","0.10%"
"13 to 13.99 years","5","0.03%","100.00%","","","","5","0.03%"
"14 to 14.99 years","6","0.04%","100.00%","","","","6","0.03%"
"15 to 15.99 years","2","0.01%","66.67%","1","0.04%","33.33%","3","0.02%"
"18 to 18.99 years","3","0.02%","100.00%","","","","3","0.02%"
"19 to 19.99 years","1","0.01%","100.00%","","","","1","0.01%"
"22 to 22.99 years","1","0.01%","100.00%","","","","1","0.01%"
"24 to 24.99 years","2","0.01%","100.00%","","","","2","0.01%"
"25 to 25.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Thirty + years","5","0.03%","100.00%","","","","5","0.03%"
"Total Reported","15,944","100%","87.25%","2,329","100%","12.75%","18,273","100.0%"
"Not Reported","2","","","0","","","2",""
"Grand Total","15,946","","","2,329","","","18,275",""
