"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","12,792","62.97%","91.25%","1,226","57.50%","8.75%","14,018","62.45%"
"1 to 1.99 years","3,744","18.43%","91.43%","351","16.46%","8.57%","4,095","18.24%"
"2 to 2.99 years","1,368","6.73%","89.06%","168","7.88%","10.94%","1,536","6.84%"
"3 to 3.99 years","929","4.57%","87.72%","130","6.10%","12.28%","1,059","4.72%"
"4 to 4.99 years","635","3.13%","87.83%","88","4.13%","12.17%","723","3.22%"
"5 to 5.99 years","356","1.75%","83.76%","69","3.24%","16.24%","425","1.89%"
"6 to 6.99 years","210","1.03%","83.67%","41","1.92%","16.33%","251","1.12%"
"7 to 7.99 years","111","0.55%","85.38%","19","0.89%","14.62%","130","0.58%"
"8 to 8.99 years","71","0.35%","77.17%","21","0.98%","22.83%","92","0.41%"
"9 to 9.99 years","51","0.25%","86.44%","8","0.38%","13.56%","59","0.26%"
"10 to 10.99 years","20","0.10%","74.07%","7","0.33%","25.93%","27","0.12%"
"11 to 11.99 years","12","0.06%","85.71%","2","0.09%","14.29%","14","0.06%"
"12 to 12.99 years","13","0.06%","86.67%","2","0.09%","13.33%","15","0.07%"
"20 to 20.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","20,313","100%","90.50%","2,132","100%","9.50%","22,445","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","20,313","","","2,132","","","22,445",""
