"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","11,174","59.18%","88.97%","1,385","64.96%","11.03%","12,559","59.77%"
"1 to 1.99 years","6,544","34.66%","90.74%","668","31.33%","9.26%","7,212","34.32%"
"2 to 2.99 years","863","4.57%","94.21%","53","2.49%","5.79%","916","4.36%"
"3 to 3.99 years","153","0.81%","90.00%","17","0.80%","10.00%","170","0.81%"
"4 to 4.99 years","56","0.30%","93.33%","4","0.19%","6.67%","60","0.29%"
"5 to 5.99 years","44","0.23%","91.67%","4","0.19%","8.33%","48","0.23%"
"6 to 6.99 years","13","0.07%","92.86%","1","0.05%","7.14%","14","0.07%"
"7 to 7.99 years","15","0.08%","100.00%","","","","15","0.07%"
"8 to 8.99 years","9","0.05%","100.00%","","","","9","0.04%"
"9 to 9.99 years","3","0.02%","100.00%","","","","3","0.01%"
"10 to 10.99 years","3","0.02%","100.00%","","","","3","0.01%"
"11 to 11.99 years","1","0.01%","100.00%","","","","1","0.01%"
"13 to 13.99 years","1","0.01%","100.00%","","","","1","0.01%"
"23 to 23.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","18,880","100%","89.85%","2,132","100%","10.15%","21,012","100.0%"
"Not Reported","138","","","21","","","159",""
"Grand Total","19,018","","","2,153","","","21,171",""
