"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,661","66.69%","90.19%","1,160","55.05%","9.81%","11,821","65.33%"
"1 to 1.99 years","1,801","11.27%","86.80%","274","13.00%","13.20%","2,075","11.47%"
"2 to 2.99 years","1,109","6.94%","82.64%","233","11.06%","17.36%","1,342","7.42%"
"3 to 3.99 years","791","4.95%","83.26%","159","7.55%","16.74%","950","5.25%"
"4 to 4.99 years","646","4.04%","84.78%","116","5.51%","15.22%","762","4.21%"
"5 to 5.99 years","362","2.26%","83.99%","69","3.27%","16.01%","431","2.38%"
"6 to 6.99 years","200","1.25%","86.96%","30","1.42%","13.04%","230","1.27%"
"7 to 7.99 years","154","0.96%","87.01%","23","1.09%","12.99%","177","0.98%"
"8 to 8.99 years","96","0.60%","91.43%","9","0.43%","8.57%","105","0.58%"
"9 to 9.99 years","86","0.54%","89.58%","10","0.47%","10.42%","96","0.53%"
"10 to 10.99 years","30","0.19%","63.83%","17","0.81%","36.17%","47","0.26%"
"11 to 11.99 years","13","0.08%","72.22%","5","0.24%","27.78%","18","0.10%"
"12 to 12.99 years","11","0.07%","100.00%","","","","11","0.06%"
"13 to 13.99 years","9","0.06%","90.00%","1","0.05%","10.00%","10","0.06%"
"14 to 14.99 years","2","0.01%","100.00%","","","","2","0.01%"
"15 to 15.99 years","4","0.03%","80.00%","1","0.05%","20.00%","5","0.03%"
"16 to 16.99 years","2","0.01%","100.00%","","","","2","0.01%"
"17 to 17.99 years","2","0.01%","100.00%","","","","2","0.01%"
"18 to 18.99 years","1","0.01%","100.00%","","","","1","0.01%"
"19 to 19.99 years","2","0.01%","100.00%","","","","2","0.01%"
"21 to 21.99 years","2","0.01%","100.00%","","","","2","0.01%"
"22 to 22.99 years","1","0.01%","100.00%","","","","1","0.01%"
"29 to 29.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","15,986","100%","88.35%","2,107","100%","11.65%","18,093","100.0%"
"Not Reported","4","","","0","","","4",""
"Grand Total","15,990","","","2,107","","","18,097",""
