"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,124","18.36%","83.69%","609","29.03%","16.31%","3,733","19.53%"
"1 to 1.99 years","5,443","32.00%","86.44%","854","40.71%","13.56%","6,297","32.95%"
"2 to 2.99 years","3,455","20.31%","90.71%","354","16.87%","9.29%","3,809","19.93%"
"3 to 3.99 years","1,643","9.66%","93.25%","119","5.67%","6.75%","1,762","9.22%"
"4 to 4.99 years","795","4.67%","94.98%","42","2.00%","5.02%","837","4.38%"
"5 to 5.99 years","661","3.89%","94.03%","42","2.00%","5.97%","703","3.68%"
"6 to 6.99 years","288","1.69%","94.12%","18","0.86%","5.88%","306","1.60%"
"7 to 7.99 years","236","1.39%","97.52%","6","0.29%","2.48%","242","1.27%"
"8 to 8.99 years","229","1.35%","95.42%","11","0.52%","4.58%","240","1.26%"
"9 to 9.99 years","134","0.79%","94.37%","8","0.38%","5.63%","142","0.74%"
"10 to 10.99 years","471","2.77%","96.91%","15","0.71%","3.09%","486","2.54%"
"11 to 11.99 years","58","0.34%","98.31%","1","0.05%","1.69%","59","0.31%"
"12 to 12.99 years","92","0.54%","95.83%","4","0.19%","4.17%","96","0.50%"
"13 to 13.99 years","60","0.35%","95.24%","3","0.14%","4.76%","63","0.33%"
"14 to 14.99 years","35","0.21%","97.22%","1","0.05%","2.78%","36","0.19%"
"15 to 15.99 years","102","0.60%","97.14%","3","0.14%","2.86%","105","0.55%"
"16 to 16.99 years","17","0.10%","94.44%","1","0.05%","5.56%","18","0.09%"
"17 to 17.99 years","20","0.12%","100.00%","","","","20","0.10%"
"18 to 18.99 years","19","0.11%","90.48%","2","0.10%","9.52%","21","0.11%"
"19 to 19.99 years","16","0.09%","100.00%","","","","16","0.08%"
"20 to 20.99 years","43","0.25%","95.56%","2","0.10%","4.44%","45","0.24%"
"21 to 21.99 years","14","0.08%","93.33%","1","0.05%","6.67%","15","0.08%"
"22 to 22.99 years","6","0.04%","85.71%","1","0.05%","14.29%","7","0.04%"
"23 to 23.99 years","1","0.01%","100.00%","","","","1","0.01%"
"24 to 24.99 years","9","0.05%","100.00%","","","","9","0.05%"
"25 to 25.99 years","19","0.11%","100.00%","","","","19","0.10%"
"26 to 26.99 years","8","0.05%","100.00%","","","","8","0.04%"
"27 to 27.99 years","5","0.03%","100.00%","","","","5","0.03%"
"28 to 28.99 years","1","0.01%","100.00%","","","","1","0.01%"
"29 to 29.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Thirty + years","7","0.04%","87.50%","1","0.05%","12.50%","8","0.04%"
"Total Reported","17,012","100%","89.02%","2,098","100%","10.98%","19,110","100.0%"
"Not Reported","170","","","18","","","188",""
"Grand Total","17,182","","","2,116","","","19,298",""
