"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,283","21.88%","87.04%","489","25.27%","12.96%","3,772","22.27%"
"1 to 1.99 years","3,485","23.23%","87.76%","486","25.12%","12.24%","3,971","23.44%"
"2 to 2.99 years","2,186","14.57%","87.72%","306","15.81%","12.28%","2,492","14.71%"
"3 to 3.99 years","1,521","10.14%","87.92%","209","10.80%","12.08%","1,730","10.21%"
"4 to 4.99 years","1,177","7.85%","87.70%","165","8.53%","12.30%","1,342","7.92%"
"5 to 5.99 years","787","5.25%","89.53%","92","4.75%","10.47%","879","5.19%"
"6 to 6.99 years","474","3.16%","91.51%","44","2.27%","8.49%","518","3.06%"
"7 to 7.99 years","361","2.41%","92.09%","31","1.60%","7.91%","392","2.31%"
"8 to 8.99 years","302","2.01%","90.69%","31","1.60%","9.31%","333","1.97%"
"9 to 9.99 years","192","1.28%","89.72%","22","1.14%","10.28%","214","1.26%"
"10 to 10.99 years","417","2.78%","94.34%","25","1.29%","5.66%","442","2.61%"
"11 to 11.99 years","83","0.55%","94.32%","5","0.26%","5.68%","88","0.52%"
"12 to 12.99 years","103","0.69%","95.37%","5","0.26%","4.63%","108","0.64%"
"13 to 13.99 years","49","0.33%","92.45%","4","0.21%","7.55%","53","0.31%"
"14 to 14.99 years","65","0.43%","98.48%","1","0.05%","1.52%","66","0.39%"
"15 to 15.99 years","121","0.81%","96.80%","4","0.21%","3.20%","125","0.74%"
"16 to 16.99 years","23","0.15%","88.46%","3","0.16%","11.54%","26","0.15%"
"17 to 17.99 years","33","0.22%","89.19%","4","0.21%","10.81%","37","0.22%"
"18 to 18.99 years","39","0.26%","100.00%","","","","39","0.23%"
"19 to 19.99 years","50","0.33%","100.00%","","","","50","0.30%"
"20 to 20.99 years","92","0.61%","95.83%","4","0.21%","4.17%","96","0.57%"
"21 to 21.99 years","17","0.11%","94.44%","1","0.05%","5.56%","18","0.11%"
"22 to 22.99 years","17","0.11%","94.44%","1","0.05%","5.56%","18","0.11%"
"23 to 23.99 years","12","0.08%","92.31%","1","0.05%","7.69%","13","0.08%"
"24 to 24.99 years","14","0.09%","100.00%","","","","14","0.08%"
"25 to 25.99 years","17","0.11%","100.00%","","","","17","0.10%"
"26 to 26.99 years","16","0.11%","100.00%","","","","16","0.09%"
"27 to 27.99 years","14","0.09%","93.33%","1","0.05%","6.67%","15","0.09%"
"28 to 28.99 years","6","0.04%","85.71%","1","0.05%","14.29%","7","0.04%"
"29 to 29.99 years","7","0.05%","100.00%","","","","7","0.04%"
"Thirty + years","40","0.27%","100.00%","","","","40","0.24%"
"Total Reported","15,003","100%","88.58%","1,935","100%","11.42%","16,938","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","15,004","","","1,935","","","16,939",""
