"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,894","52.55%","87.10%","1,466","63.77%","12.90%","11,360","53.76%"
"1 to 1.99 years","7,335","38.96%","91.41%","688","29.93%","8.57%","8,024","37.98%"
"2 to 2.99 years","1,135","6.03%","94.19%","70","3.04%","5.81%","1,205","5.70%"
"3 to 3.99 years","262","1.39%","86.18%","42","1.83%","13.82%","304","1.44%"
"4 to 4.99 years","90","0.48%","86.54%","14","0.61%","13.46%","104","0.49%"
"5 to 5.99 years","56","0.30%","90.32%","6","0.26%","9.68%","62","0.29%"
"6 to 6.99 years","23","0.12%","82.14%","5","0.22%","17.86%","28","0.13%"
"7 to 7.99 years","14","0.07%","87.50%","2","0.09%","12.50%","16","0.08%"
"8 to 8.99 years","6","0.03%","85.71%","1","0.04%","14.29%","7","0.03%"
"9 to 9.99 years","5","0.03%","71.43%","2","0.09%","28.57%","7","0.03%"
"10 to 10.99 years","6","0.03%","85.71%","1","0.04%","14.29%","7","0.03%"
"11 to 11.99 years","1","0.01%","100.00%","","","","1","0.01%"
"12 to 12.99 years","1","0.01%","100.00%","","","","1","0.01%"
"13 to 13.99 years","","","","1","0.04%","100.00%","1","0.01%"
"14 to 14.99 years","1","0.01%","100.00%","","","","1","0.01%"
"16 to 16.99 years","","","","1","0.04%","100.00%","1","0.01%"
"Total Reported","18,829","100%","89.11%","2,299","100%","10.88%","21,129","100.0%"
"Not Reported","207","","","45","","","252",""
"Grand Total","19,036","","","2,344","","","21,381",""
