"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,688","68.32%","89.76%","1,219","59.78%","10.24%","11,907","67.33%"
"1 to 1.99 years","1,503","9.61%","86.63%","232","11.38%","13.37%","1,735","9.81%"
"2 to 2.99 years","1,063","6.79%","84.84%","190","9.32%","15.16%","1,253","7.09%"
"3 to 3.99 years","901","5.76%","86.30%","143","7.01%","13.70%","1,044","5.90%"
"4 to 4.99 years","617","3.94%","84.64%","112","5.49%","15.36%","729","4.12%"
"5 to 5.99 years","307","1.96%","85.52%","52","2.55%","14.48%","359","2.03%"
"6 to 6.99 years","197","1.26%","88.34%","26","1.28%","11.66%","223","1.26%"
"7 to 7.99 years","137","0.88%","85.09%","24","1.18%","14.91%","161","0.91%"
"8 to 8.99 years","97","0.62%","88.18%","13","0.64%","11.82%","110","0.62%"
"9 to 9.99 years","63","0.40%","79.75%","16","0.78%","20.25%","79","0.45%"
"10 to 10.99 years","25","0.16%","80.65%","6","0.29%","19.35%","31","0.18%"
"11 to 11.99 years","12","0.08%","92.31%","1","0.05%","7.69%","13","0.07%"
"12 to 12.99 years","6","0.04%","100.00%","","","","6","0.03%"
"13 to 13.99 years","6","0.04%","85.71%","1","0.05%","14.29%","7","0.04%"
"14 to 14.99 years","7","0.04%","100.00%","","","","7","0.04%"
"15 to 15.99 years","3","0.02%","50.00%","3","0.15%","50.00%","6","0.03%"
"16 to 16.99 years","2","0.01%","100.00%","","","","2","0.01%"
"17 to 17.99 years","2","0.01%","66.67%","1","0.05%","33.33%","3","0.02%"
"18 to 18.99 years","1","0.01%","100.00%","","","","1","0.01%"
"23 to 23.99 years","1","0.01%","100.00%","","","","1","0.01%"
"29 to 29.99 years","2","0.01%","100.00%","","","","2","0.01%"
"Thirty + years","5","0.03%","100.00%","","","","5","0.03%"
"Total Reported","15,645","100%","88.47%","2,039","100%","11.53%","17,684","100%"
"Not Reported","0","","","1","","","1",""
"Grand Total","15,645","","","2,040","","","17,685",""
