"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,045","19.87%","87.12%","450","23.17%","12.88%","3,495","20.24%"
"1 to 1.99 years","3,604","23.52%","88.12%","486","25.03%","11.88%","4,090","23.69%"
"2 to 2.99 years","2,377","15.51%","88.23%","317","16.32%","11.77%","2,694","15.60%"
"3 to 3.99 years","1,540","10.05%","88.05%","209","10.76%","11.95%","1,749","10.13%"
"4 to 4.99 years","1,250","8.16%","88.34%","165","8.50%","11.66%","1,415","8.19%"
"5 to 5.99 years","819","5.34%","88.06%","111","5.72%","11.94%","930","5.39%"
"6 to 6.99 years","540","3.52%","90.91%","54","2.78%","9.09%","594","3.44%"
"7 to 7.99 years","340","2.22%","91.64%","31","1.60%","8.36%","371","2.15%"
"8 to 8.99 years","299","1.95%","90.88%","30","1.54%","9.12%","329","1.91%"
"9 to 9.99 years","251","1.64%","93.66%","17","0.88%","6.34%","268","1.55%"
"10 to 10.99 years","431","2.81%","92.69%","34","1.75%","7.31%","465","2.69%"
"11 to 11.99 years","119","0.78%","92.25%","10","0.51%","7.75%","129","0.75%"
"12 to 12.99 years","98","0.64%","97.03%","3","0.15%","2.97%","101","0.58%"
"13 to 13.99 years","56","0.37%","88.89%","7","0.36%","11.11%","63","0.36%"
"14 to 14.99 years","57","0.37%","95.00%","3","0.15%","5.00%","60","0.35%"
"15 to 15.99 years","120","0.78%","98.36%","2","0.10%","1.64%","122","0.71%"
"16 to 16.99 years","31","0.20%","96.88%","1","0.05%","3.13%","32","0.19%"
"17 to 17.99 years","38","0.25%","97.44%","1","0.05%","2.56%","39","0.23%"
"18 to 18.99 years","35","0.23%","97.22%","1","0.05%","2.78%","36","0.21%"
"19 to 19.99 years","34","0.22%","100.00%","","","","34","0.20%"
"20 to 20.99 years","97","0.63%","96.04%","4","0.21%","3.96%","101","0.58%"
"21 to 21.99 years","12","0.08%","100.00%","","","","12","0.07%"
"22 to 22.99 years","11","0.07%","100.00%","","","","11","0.06%"
"23 to 23.99 years","12","0.08%","85.71%","2","0.10%","14.29%","14","0.08%"
"24 to 24.99 years","13","0.08%","100.00%","","","","13","0.08%"
"25 to 25.99 years","17","0.11%","100.00%","","","","17","0.10%"
"26 to 26.99 years","13","0.08%","100.00%","","","","13","0.08%"
"27 to 27.99 years","9","0.06%","100.00%","","","","9","0.05%"
"28 to 28.99 years","10","0.07%","90.91%","1","0.05%","9.09%","11","0.06%"
"29 to 29.99 years","8","0.05%","88.89%","1","0.05%","11.11%","9","0.05%"
"Thirty + years","39","0.25%","95.12%","2","0.10%","4.88%","41","0.24%"
"Total Reported","15,325","100%","88.75%","1,942","100%","11.25%","17,267","100.0%"
"Not Reported","1","","","0","","","1",""
"Grand Total","15,326","","","1,942","","","17,268",""
