"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,432","58.27%","86.51%","1,471","63.46%","13.49%","10,903","58.92%"
"1 to 1.99 years","5,813","35.91%","88.53%","753","32.48%","11.47%","6,566","35.48%"
"2 to 2.99 years","710","4.39%","91.03%","70","3.02%","8.97%","780","4.21%"
"3 to 3.99 years","148","0.91%","91.93%","13","0.56%","8.07%","161","0.87%"
"4 to 4.99 years","33","0.20%","91.67%","3","0.13%","8.33%","36","0.19%"
"5 to 5.99 years","23","0.14%","76.67%","7","0.30%","23.33%","30","0.16%"
"6 to 6.99 years","9","0.06%","100.00%","","","","9","0.05%"
"7 to 7.99 years","9","0.06%","100.00%","","","","9","0.05%"
"8 to 8.99 years","1","0.01%","100.00%","","","","1","0.01%"
"9 to 9.99 years","3","0.02%","75.00%","1","0.04%","25.00%","4","0.02%"
"10 to 10.99 years","6","0.04%","100.00%","","","","6","0.03%"
"13 to 13.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","16,188","100%","87.47%","2,318","100%","12.53%","18,506","100%"
"Not Reported","119","","","16","","","135",""
"Grand Total","16,307","","","2,334","","","18,641",""
