"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,958","57.42%","89.96%","1,111","60.51%","10.04%","11,069","57.72%"
"1 to 1.99 years","6,458","37.24%","90.73%","660","35.95%","9.27%","7,118","37.12%"
"2 to 2.99 years","740","4.27%","93.67%","50","2.72%","6.33%","790","4.12%"
"3 to 3.99 years","105","0.61%","91.30%","10","0.54%","8.70%","115","0.60%"
"4 to 4.99 years","45","0.26%","91.84%","4","0.22%","8.16%","49","0.26%"
"5 to 5.99 years","17","0.10%","100.00%","","","","17","0.09%"
"6 to 6.99 years","8","0.05%","100.00%","","","","8","0.04%"
"7 to 7.99 years","5","0.03%","100.00%","","","","5","0.03%"
"8 to 8.99 years","1","0.01%","100.00%","","","","1","0.01%"
"9 to 9.99 years","2","0.01%","100.00%","","","","2","0.01%"
"10 to 10.99 years","1","0.01%","100.00%","","","","1","0.01%"
"11 to 11.99 years","1","0.01%","100.00%","","","","1","0.01%"
"14 to 14.99 years","1","0.01%","100.00%","","","","1","0.01%"
"17 to 17.99 years","","","","1","0.05%","100.00%","1","0.01%"
"Total Reported","17,342","100%","90.43%","1,836","100%","9.57%","19,178","100.0%"
"Not Reported","148","","","12","","","160",""
"Grand Total","17,490","","","1,848","","","19,338",""
