"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,155","69.93%","89.68%","1,054","60.71%","10.32%","10,209","68.85%"
"1 to 1.99 years","1,255","9.59%","86.08%","203","11.69%","13.92%","1,458","9.83%"
"2 to 2.99 years","603","4.61%","82.15%","131","7.55%","17.85%","734","4.95%"
"3 to 3.99 years","760","5.81%","84.26%","142","8.18%","15.74%","902","6.08%"
"4 to 4.99 years","524","4.00%","87.33%","76","4.38%","12.67%","600","4.05%"
"5 to 5.99 years","308","2.35%","86.76%","47","2.71%","13.24%","355","2.39%"
"6 to 6.99 years","165","1.26%","86.39%","26","1.50%","13.61%","191","1.29%"
"7 to 7.99 years","112","0.86%","84.85%","20","1.15%","15.15%","132","0.89%"
"8 to 8.99 years","75","0.57%","85.23%","13","0.75%","14.77%","88","0.59%"
"9 to 9.99 years","57","0.44%","82.61%","12","0.69%","17.39%","69","0.47%"
"10 to 10.99 years","36","0.27%","87.80%","5","0.29%","12.20%","41","0.28%"
"11 to 11.99 years","15","0.11%","83.33%","3","0.17%","16.67%","18","0.12%"
"12 to 12.99 years","12","0.09%","100.00%","","","","12","0.08%"
"13 to 13.99 years","1","0.01%","33.33%","2","0.12%","66.67%","3","0.02%"
"14 to 14.99 years","1","0.01%","50.00%","1","0.06%","50.00%","2","0.01%"
"15 to 15.99 years","3","0.02%","75.00%","1","0.06%","25.00%","4","0.03%"
"16 to 16.99 years","1","0.01%","100.00%","","","","1","0.01%"
"18 to 18.99 years","3","0.02%","100.00%","","","","3","0.02%"
"20 to 20.99 years","1","0.01%","100.00%","","","","1","0.01%"
"28 to 28.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Thirty + years","3","0.02%","100.00%","","","","3","0.02%"
"Total Reported","13,091","100%","88.29%","1,736","100%","11.71%","14,827","100%"
"Not Reported","0","","","1","","","1",""
"Grand Total","13,091","","","1,737","","","14,828",""
