"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","4,093","21.48%","90.13%","448","21.55%","9.87%","4,541","21.48%"
"1 to 1.99 years","4,544","23.84%","89.20%","550","26.46%","10.80%","5,094","24.10%"
"2 to 2.99 years","3,305","17.34%","89.59%","384","18.47%","10.41%","3,689","17.45%"
"3 to 3.99 years","2,240","11.75%","90.36%","239","11.50%","9.64%","2,479","11.73%"
"4 to 4.99 years","1,415","7.43%","90.01%","157","7.55%","9.99%","1,572","7.44%"
"5 to 5.99 years","1,059","5.56%","89.97%","118","5.68%","10.03%","1,177","5.57%"
"6 to 6.99 years","565","2.96%","90.11%","62","2.98%","9.89%","627","2.97%"
"7 to 7.99 years","335","1.76%","88.16%","45","2.16%","11.84%","380","1.80%"
"8 to 8.99 years","209","1.10%","92.07%","18","0.87%","7.93%","227","1.07%"
"9 to 9.99 years","185","0.97%","92.96%","14","0.67%","7.04%","199","0.94%"
"10 to 10.99 years","389","2.04%","95.58%","18","0.87%","4.42%","407","1.93%"
"11 to 11.99 years","93","0.49%","94.90%","5","0.24%","5.10%","98","0.46%"
"12 to 12.99 years","115","0.60%","96.64%","4","0.19%","3.36%","119","0.56%"
"13 to 13.99 years","59","0.31%","92.19%","5","0.24%","7.81%","64","0.30%"
"14 to 14.99 years","69","0.36%","95.83%","3","0.14%","4.17%","72","0.34%"
"15 to 15.99 years","113","0.59%","97.41%","3","0.14%","2.59%","116","0.55%"
"16 to 16.99 years","28","0.15%","93.33%","2","0.10%","6.67%","30","0.14%"
"17 to 17.99 years","18","0.09%","100.00%","","","","18","0.09%"
"18 to 18.99 years","29","0.15%","96.67%","1","0.05%","3.33%","30","0.14%"
"19 to 19.99 years","31","0.16%","96.88%","1","0.05%","3.13%","32","0.15%"
"20 to 20.99 years","60","0.31%","98.36%","1","0.05%","1.64%","61","0.29%"
"21 to 21.99 years","23","0.12%","100.00%","","","","23","0.11%"
"22 to 22.99 years","9","0.05%","90.00%","1","0.05%","10.00%","10","0.05%"
"23 to 23.99 years","13","0.07%","100.00%","","","","13","0.06%"
"24 to 24.99 years","8","0.04%","100.00%","","","","8","0.04%"
"25 to 25.99 years","9","0.05%","100.00%","","","","9","0.04%"
"26 to 26.99 years","7","0.04%","100.00%","","","","7","0.03%"
"27 to 27.99 years","6","0.03%","100.00%","","","","6","0.03%"
"28 to 28.99 years","8","0.04%","100.00%","","","","8","0.04%"
"29 to 29.99 years","3","0.02%","100.00%","","","","3","0.01%"
"Thirty + years","17","0.09%","100.00%","","","","17","0.08%"
"Total Reported","19,057","100%","90.16%","2,079","100%","9.84%","21,136","100%"
"Not Reported","29","","","1","","","30",""
"Grand Total","19,086","","","2,080","","","21,166",""
