"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","2,425","20.19%","87.93%","333","21.20%","12.07%","2,758","20.30%"
"1 to 1.99 years","2,702","22.49%","87.02%","403","25.65%","12.98%","3,105","22.86%"
"2 to 2.99 years","1,919","15.98%","87.31%","279","17.76%","12.69%","2,198","16.18%"
"3 to 3.99 years","912","7.59%","87.36%","132","8.40%","12.64%","1,044","7.69%"
"4 to 4.99 years","908","7.56%","87.90%","125","7.96%","12.10%","1,033","7.61%"
"5 to 5.99 years","654","5.44%","88.86%","82","5.22%","11.14%","736","5.42%"
"6 to 6.99 years","478","3.98%","89.51%","56","3.56%","10.49%","534","3.93%"
"7 to 7.99 years","362","3.01%","91.65%","33","2.10%","8.35%","395","2.91%"
"8 to 8.99 years","308","2.56%","90.32%","33","2.10%","9.68%","341","2.51%"
"9 to 9.99 years","323","2.69%","89.72%","37","2.36%","10.28%","360","2.65%"
"10 to 10.99 years","166","1.38%","91.21%","16","1.02%","8.79%","182","1.34%"
"11 to 11.99 years","127","1.06%","95.49%","6","0.38%","4.51%","133","0.98%"
"12 to 12.99 years","99","0.82%","99.00%","1","0.06%","1.00%","100","0.74%"
"13 to 13.99 years","108","0.90%","93.10%","8","0.51%","6.90%","116","0.85%"
"14 to 14.99 years","82","0.68%","92.13%","7","0.45%","7.87%","89","0.66%"
"15 to 15.99 years","69","0.57%","93.24%","5","0.32%","6.76%","74","0.54%"
"16 to 16.99 years","29","0.24%","90.63%","3","0.19%","9.38%","32","0.24%"
"17 to 17.99 years","39","0.32%","95.12%","2","0.13%","4.88%","41","0.30%"
"18 to 18.99 years","28","0.23%","96.55%","1","0.06%","3.45%","29","0.21%"
"19 to 19.99 years","27","0.22%","90.00%","3","0.19%","10.00%","30","0.22%"
"20 to 20.99 years","66","0.55%","98.51%","1","0.06%","1.49%","67","0.49%"
"21 to 21.99 years","22","0.18%","100.00%","","","","22","0.16%"
"22 to 22.99 years","10","0.08%","100.00%","","","","10","0.07%"
"23 to 23.99 years","7","0.06%","100.00%","","","","7","0.05%"
"24 to 24.99 years","10","0.08%","90.91%","1","0.06%","9.09%","11","0.08%"
"25 to 25.99 years","11","0.09%","91.67%","1","0.06%","8.33%","12","0.09%"
"26 to 26.99 years","21","0.17%","100.00%","","","","21","0.15%"
"27 to 27.99 years","13","0.11%","100.00%","","","","13","0.10%"
"28 to 28.99 years","10","0.08%","100.00%","","","","10","0.07%"
"29 to 29.99 years","13","0.11%","100.00%","","","","13","0.10%"
"Thirty + years","64","0.53%","95.52%","3","0.19%","4.48%","67","0.49%"
"Total Reported","12,012","100%","88.43%","1,571","100%","11.57%","13,583","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,012","","","1,571","","","13,583",""
