report,white_male_pop,white_female_pop,white_pop,black_male_pop,black_female_pop,black_pop,asian_male_pop,asian_female_pop,asian_pop,indian_male_pop,indian_female_pop,indian_pop,hispanic_male_pop,hispanic_female_pop,hispanic_pop,native_american_male_pop,native_american_female_pop,native_american_pop,native_hawaiian_male_pop,native_hawaiian_female_pop,native_hawaiian_pop,race_unknown_male_pop,race_unknown_female_pop,race_unknown_pop,race_other_male_pop,race_other_female_pop,race_other_pop,race_not_reported_male_pop,race_not_reported_female_pop,race_not_reported_pop,race_reported_male_pop,race_reported_female_pop,race_reported
Admissions_CY_2005,6706,992,7698,10659,851,11510,13,0,13,16,1,17,,,,,,,,,,,,,,,,96,4,100,17394,1844,19238
Admissions_CY_2006,7549,1502,9051,11909,1171,13080,14,1,15,25,3,28,788,53,841,,,,,,,,,,,,,115,14,129,19612,2691,22303
Admissions_CY_2007,7194,1230,8424,11707,915,12622,14,0,14,15,3,18,860,60,920,,,,,,,,,,,,,88,5,93,19018,2153,21171
Admissions_CY_2008,5763,1250,7013,10409,1068,11477,20,6,26,22,1,23,788,78,866,,,,,,,,,,,,,93,9,102,16307,2334,18641
Admissions_CY_2009,6099,1238,7337,12036,1096,13132,37,0,37,11,0,11,857,75,933,,,,,,,,,,,,,853,10,863,19036,2344,21381
Admissions_CY_2010,5801,1195,6996,11325,963,12288,35,0,35,,,,826,31,857,12,4,16,0,1,1,1,0,1,15,4,19,0,0,0,18015,2198,20215
Admissions_CY_2011,6518,1078,7596,11651,825,12476,44,2,46,,,,869,39,908,8,1,9,,,,2,0,2,11,7,18,0,0,0,19103,1952,21055
Admissions_CY_2012,7156,1191,8347,12225,900,13125,73,9,82,,,,836,26,862,11,1,12,,,,,,,12,5,17,0,0,0,20313,2132,22445
Admissions_CY_2013,6534,1322,7856,10911,845,11756,54,9,63,,,,648,21,669,5,3,8,,,,3,1,4,9,9,18,0,0,0,18164,2210,20374
Admissions_CY_2014,6280,1315,7595,9981,778,10759,65,9,74,,,,508,23,531,15,1,16,1,0,1,3,0,3,24,2,26,0,0,0,16877,2128,19005
Admissions_CY_2015,6049,1346,7395,9125,667,9792,50,6,56,,,,387,15,402,9,1,10,,,,6,2,8,19,3,22,0,0,0,15645,2040,17685
Admissions_CY_2016,6318,1384,7702,9153,698,9851,64,8,72,,,,419,14,433,8,1,9,1,0,1,3,0,3,24,2,26,0,0,0,15990,2107,18097
Admissions_CY_2017,6317,1297,7614,8458,651,9109,51,5,56,,,,398,18,416,8,1,9,1,0,1,5,1,6,21,4,25,0,0,0,15259,1977,17236
Admissions_CY_2018,6398,1553,7951,8930,735,9665,49,9,58,,,,538,27,565,7,3,10,,,,4,0,4,20,2,22,0,0,0,15946,2329,18275
Admissions_CY_2019,7051,1511,8562,9126,681,9807,55,2,57,,,,463,36,499,10,0,10,1,0,1,8,0,8,20,3,23,0,0,0,16734,2233,18967
Admissions_CY_2020,4027,835,4862,4808,331,5139,33,2,35,,,,235,7,242,6,1,7,,,,2,0,2,2,1,3,0,0,0,9113,1177,10290
Admissions_CY_2021,5622,1010,6632,6195,356,6551,43,4,47,,,,342,14,356,6,1,7,,,,6,0,6,12,0,12,0,0,0,12226,1385,13611
Admissions_CY_2022,5693,1210,6903,7028,504,7532,44,5,49,,,,303,14,317,10,0,10,,,,2,0,2,11,4,15,0,0,0,13091,1737,14828
Admissions_CY_2023,5655,1149,6804,7420,578,7998,40,2,42,,,,339,18,357,9,2,11,,,,0,1,1,3,4,7,0,0,0,13466,1754,15220
Admissions_CY_2024,4685,1045,5730,7569,649,8218,54,6,60,,,,492,15,507,10,1,11,,,,2,0,2,10,3,13,0,0,0,12822,1719,14541
Admissions_CY_2025,4044,1116,5160,7319,734,8053,32,5,37,,,,656,13,669,10,3,13,,,,1,0,1,12,1,13,0,0,0,12074,1872,13946
Releases_CY_2005,5889,972,6861,10235,933,11168,7,2,9,19,1,20,,,,,,,,,,,,,,,,57,4,61,16150,1908,18058
Releases_CY_2006,6149,1054,7203,10221,981,11202,16,0,16,15,1,16,559,46,605,,,,,,,,,,,,,76,6,82,16477,2042,18519
Releases_CY_2007,6530,1166,7696,10541,940,11481,8,1,9,18,3,21,677,52,729,,,,,,,,,,,,,85,6,91,17182,2116,19298
Releases_CY_2008,7005,1223,8228,11116,966,12082,12,0,12,11,2,13,822,73,895,,,,,,,,,,,,,93,14,107,18237,2205,20442
Releases_CY_2009,6469,1274,7743,11565,1007,12572,33,2,35,,,,587,8,595,11,3,14,,,,2,0,2,32,4,36,0,0,0,18699,2298,20999
Releases_CY_2010,6425,1173,7598,12251,1088,13339,36,2,38,,,,763,13,776,8,2,10,,,,3,0,3,18,1,19,0,0,0,19504,2279,21788
Releases_CY_2011,6404,1138,7542,12071,905,12976,38,1,39,,,,766,30,796,15,2,17,,,,1,0,1,16,3,19,0,0,0,19311,2079,21390
Releases_CY_2012,6003,1067,7070,10503,853,11356,46,4,50,,,,778,35,813,5,3,8,0,1,1,1,0,1,11,6,17,0,0,0,17347,1969,19316
Releases_CY_2013,6723,1232,7955,11519,810,12329,61,2,63,,,,757,32,789,12,1,13,,,,1,0,1,13,3,16,0,0,0,19086,2080,21166
Releases_CY_2014,6373,1304,7677,10558,813,11371,45,8,53,,,,632,28,660,12,4,16,,,,1,1,2,16,6,22,0,0,0,17637,2164,19801
Releases_CY_2015,5875,1242,7117,9438,674,10112,47,8,55,,,,545,27,572,12,0,12,1,0,1,2,1,3,12,4,16,0,0,0,15932,1956,17888
Releases_CY_2016,5841,1234,7075,8610,672,9282,53,9,62,,,,478,19,497,5,0,5,1,0,1,4,0,4,12,1,13,0,0,0,15004,1935,16939
Releases_CY_2017,6008,1252,7260,8813,668,9481,53,6,59,,,,419,12,431,12,2,14,1,0,1,2,0,2,18,2,20,0,0,0,15326,1942,17268
Releases_CY_2018,6596,1459,8055,9175,702,9877,53,6,59,,,,473,21,494,9,3,12,,,,5,1,6,20,4,24,0,0,0,16331,2196,18527
Releases_CY_2019,6554,1441,7995,8741,646,9387,52,6,58,,,,502,36,538,6,1,7,1,0,1,6,1,7,14,1,15,0,0,0,15876,2132,18008
Releases_CY_2020,6706,1437,8143,8894,664,9558,64,4,68,,,,492,28,520,8,0,8,1,0,1,1,0,1,3,1,4,0,0,0,16169,2134,18303
Releases_CY_2021,5061,1001,6062,6865,406,7271,45,3,48,,,,375,15,390,7,0,7,,,,1,0,1,4,0,4,0,0,0,12358,1425,13783
Releases_CY_2022,5108,998,6106,6398,406,6804,38,4,42,,,,376,16,392,8,2,10,,,,1,0,1,4,2,6,0,0,0,11933,1428,13361
Releases_CY_2023,4979,981,5960,6402,467,6869,42,2,44,,,,401,18,419,7,1,8,1,0,1,,,,3,3,6,0,0,0,11835,1472,13307
Releases_CY_2024,4860,1023,5883,6685,523,7208,39,6,45,,,,411,14,425,7,2,9,,,,0,1,1,10,2,12,0,0,0,12012,1571,13583
Releases_CY_2025,4644,1030,5674,6922,550,7472,46,1,47,,,,488,22,510,6,0,6,1,1,2,1,0,1,10,2,12,0,0,0,12118,1606,13724
