"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","5,763","35.54%","82.18%","1,250","53.76%","17.82%","7,013","37.83%"
"Black","10,409","64.20%","90.69%","1,068","45.94%","9.31%","11,477","61.91%"
"Indian","22",".14%","95.65%","1",".04%","4.35%","23",".12%"
"Asian","20",".12%","76.92%","6",".26%","23.08%","26",".14%"
"Total Reported","16,214","100%","87.46%","2,325","100%","12.54%","18,539","100%"
"Not Reported","93","","","9","","","102",""
"Grand Total","16,307","","","2,334","","","18,641",""
"Non Hispanic","15,519","95.17%","87.31%","2,256","96.66%","12.69%","17,775","95.35%"
"Hispanic","788","4.83%","90.99%","78","3.34%","9.01%","866","4.65%"
"Total Reported","16,307","100%","87.48%","2,334","100%","12.52%","18,641","100%"
