"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,534","35.97%","83.17%","1,322","59.82%","16.83%","7,856","38.56%"
"Black","10,911","60.07%","92.81%","845","38.24%","7.19%","11,756","57.70%"
"Other","9",".05%","50.00%","9",".41%","50.00%","18",".09%"
"Asian","54",".30%","85.71%","9",".41%","14.29%","63",".31%"
"Unknown","3",".02%","75.00%","1",".05%","25.00%","4",".02%"
"Hispanic","648","3.57%","96.86%","21",".95%","3.14%","669","3.28%"
"Native American","5",".03%","62.50%","3",".14%","37.50%","8",".04%"
"Total Reported","18,164","100%","89.15%","2,210","100%","10.85%","20,374","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,164","","","2,210","","","20,374",""
