"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","7,005","38.61%","85.14%","1,223","55.82%","14.86%","8,228","40.46%"
"Black","11,116","61.27%","92.00%","966","44.09%","8.00%","12,082","59.41%"
"Indian","11",".06%","84.62%","2",".09%","15.38%","13",".06%"
"Asian","12",".07%","100.00%","0","","","12",".06%"
"Total Reported","18,144","100%","89.23%","2,191","100%","10.77%","20,335","100%"
"Not Reported","93","","","14","","","107",""
"Grand Total","18,237","","","2,205","","","20,442",""
"Non Hispanic","17,415","95.49%","89.09%","2,132","96.69%","10.91%","19,547","95.62%"
"Hispanic","822","4.51%","91.84%","73","3.31%","8.16%","895","4.38%"
"Total Reported","18,237","100%","89.21%","2,205","100%","10.79%","20,442","100%"
