"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,280","37.21%","82.69%","1,315","61.80%","17.31%","7,595","39.96%"
"Black","9,981","59.14%","92.77%","778","36.56%","7.23%","10,759","56.61%"
"Other","24",".14%","92.31%","2",".09%","7.69%","26",".14%"
"Asian","65",".39%","87.84%","9",".42%","12.16%","74",".39%"
"Unknown","3",".02%","100.00%","0","","","3",".02%"
"Hispanic","508","3.01%","95.67%","23","1.08%","4.33%","531","2.79%"
"Native American","15",".09%","93.75%","1",".05%","6.25%","16",".08%"
"Native Hawaiian","1",".01%","100.00%","0","","","1",".01%"
"Total Reported","16,877","100%","88.8%","2,128","100%","11.2%","19,005","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,877","","","2,128","","","19,005",""
