"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","4,979","42.07%","83.54%","981","66.64%","16.46%","5,960","44.79%"
"Black","6,402","54.09%","93.20%","467","31.73%","6.80%","6,869","51.62%"
"Other","3",".03%","50.00%","3",".20%","50.00%","6",".05%"
"Asian","42",".35%","95.45%","2",".14%","4.55%","44",".33%"
"Hispanic","401","3.39%","95.70%","18","1.22%","4.30%","419","3.15%"
"Native American","7",".06%","87.50%","1",".07%","12.50%","8",".06%"
"Native Hawaiian","1",".01%","100.00%","0","","","1",".01%"
"Total Reported","11,835","100%","88.94%","1,472","100%","11.06%","13,307","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","11,835","","","1,472","","","13,307",""
