"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,554","41.28%","81.98%","1,441","67.59%","18.02%","7,995","44.40%"
"Black","8,741","55.06%","93.12%","646","30.30%","6.88%","9,387","52.13%"
"Other","14",".09%","93.33%","1",".05%","6.67%","15",".08%"
"Asian","52",".33%","89.66%","6",".28%","10.34%","58",".32%"
"Unknown","6",".04%","85.71%","1",".05%","14.29%","7",".04%"
"Hispanic","502","3.16%","93.31%","36","1.69%","6.69%","538","2.99%"
"Native American","6",".04%","85.71%","1",".05%","14.29%","7",".04%"
"Native Hawaiian","1",".01%","100.00%","0","","","1",".01%"
"Total Reported","15,876","100%","88.16%","2,132","100%","11.84%","18,008","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,876","","","2,132","","","18,008",""
