"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","5,693","43.49%","82.47%","1,210","69.66%","17.53%","6,903","46.55%"
"Black","7,028","53.69%","93.31%","504","29.02%","6.69%","7,532","50.80%"
"Other","11",".08%","73.33%","4",".23%","26.67%","15",".10%"
"Asian","44",".34%","89.80%","5",".29%","10.20%","49",".33%"
"Unknown","2",".02%","100.00%","0","","","2",".01%"
"Hispanic","303","2.31%","95.58%","14",".81%","4.42%","317","2.14%"
"Native American","10",".08%","100.00%","0","","","10",".07%"
"Total Reported","13,091","100%","88.29%","1,737","100%","11.71%","14,828","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","13,091","","","1,737","","","14,828",""
