"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,706","41.47%","82.35%","1,437","67.34%","17.65%","8,143","44.49%"
"Black","8,894","55.01%","93.05%","664","31.12%","6.95%","9,558","52.22%"
"Other","3",".02%","75.00%","1",".05%","25.00%","4",".02%"
"Asian","64",".40%","94.12%","4",".19%","5.88%","68",".37%"
"Unknown","1",".01%","100.00%","0","","","1",".01%"
"Hispanic","492","3.04%","94.62%","28","1.31%","5.38%","520","2.84%"
"Native American","8",".05%","100.00%","0","","","8",".04%"
"Native Hawaiian","1",".01%","100.00%","0","","","1",".01%"
"Total Reported","16,169","100%","88.34%","2,134","100%","11.66%","18,303","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","16,169","","","2,134","","","18,303",""
