"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,318","39.51%","82.03%","1,384","65.69%","17.97%","7,702","42.56%"
"Black","9,153","57.24%","92.91%","698","33.13%","7.09%","9,851","54.43%"
"Other","24",".15%","92.31%","2",".09%","7.69%","26",".14%"
"Asian","64",".40%","88.89%","8",".38%","11.11%","72",".40%"
"Unknown","3",".02%","100.00%","0","","","3",".02%"
"Hispanic","419","2.62%","96.77%","14",".66%","3.23%","433","2.39%"
"Native American","8",".05%","88.89%","1",".05%","11.11%","9",".05%"
"Native Hawaiian","1",".01%","100.00%","0","","","1",".01%"
"Total Reported","15,990","100%","88.36%","2,107","100%","11.64%","18,097","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,990","","","2,107","","","18,097",""
