"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,530","38.19%","84.85%","1,166","55.26%","15.15%","7,696","40.07%"
"Black","10,541","61.65%","91.81%","940","44.55%","8.19%","11,481","59.78%"
"Indian","18",".11%","85.71%","3",".14%","14.29%","21",".11%"
"Asian","8",".05%","88.89%","1",".05%","11.11%","9",".05%"
"Total Reported","17,097","100%","89.01%","2,110","100%","10.99%","19,207","100%"
"Not Reported","85","","","6","","","91",""
"Grand Total","17,182","","","2,116","","","19,298",""
"Non Hispanic","16,505","96.06%","88.88%","2,064","97.54%","11.12%","18,569","96.22%"
"Hispanic","677","3.94%","92.87%","52","2.46%","7.13%","729","3.78%"
"Total Reported","17,182","100%","89.04%","2,116","100%","10.96%","19,298","100%"
