"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","4,685","36.54%","81.76%","1,045","60.79%","18.24%","5,730","39.41%"
"Black","7,569","59.03%","92.10%","649","37.75%","7.90%","8,218","56.52%"
"Other","10",".08%","76.92%","3",".17%","23.08%","13",".09%"
"Asian","54",".42%","90.00%","6",".35%","10.00%","60",".41%"
"Unknown","2",".02%","100.00%","0","","","2",".01%"
"Hispanic","492","3.84%","97.04%","15",".87%","2.96%","507","3.49%"
"Native American","10",".08%","90.91%","1",".06%","9.09%","11",".08%"
"Total Reported","12,822","100%","88.18%","1,719","100%","11.82%","14,541","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,822","","","1,719","","","14,541",""
