CY,white_male_pop,white_female_pop,white_pop,black_male_pop,black_female_pop,black_pop,asian_male_pop,asian_female_pop,asian_pop,indian_male_pop,indian_female_pop,indian_pop,hispanic_male_pop,hispanic_female_pop,hispanic_pop,native_american_male_pop,native_american_female_pop,native_american_pop,native_hawaiian_male_pop,native_hawaiian_female_pop,native_hawaiian_pop,race_unknown_male_pop,race_unknown_female_pop,race_unknown_pop,race_other_male_pop,race_other_female_pop,race_other_pop,race_not_reported_male_pop,race_not_reported_female_pop,race_not_reported_pop,race_reported_male_pop,race_reported_female_pop,race_reported
2005,5889,972,6861,10235,933,11168,7,2,9,19,1,20,,,,,,,,,,,,,,,,57,4,61,16150,1908,18058
2006,6149,1054,7203,10221,981,11202,16,0,16,15,1,16,559,46,605,,,,,,,,,,,,,76,6,82,16477,2042,18519
2007,6530,1166,7696,10541,940,11481,8,1,9,18,3,21,677,52,729,,,,,,,,,,,,,85,6,91,17182,2116,19298
2008,7005,1223,8228,11116,966,12082,12,0,12,11,2,13,822,73,895,,,,,,,,,,,,,93,14,107,18237,2205,20442
2009,6469,1274,7743,11565,1007,12572,33,2,35,,,,587,8,595,11,3,14,,,,2,0,2,32,4,36,0,0,0,18699,2298,20999
2010,6425,1173,7598,12251,1088,13339,36,2,38,,,,763,13,776,8,2,10,,,,3,0,3,18,1,19,0,0,0,19504,2279,21788
2011,6404,1138,7542,12071,905,12976,38,1,39,,,,766,30,796,15,2,17,,,,1,0,1,16,3,19,0,0,0,19311,2079,21390
2012,6003,1067,7070,10503,853,11356,46,4,50,,,,778,35,813,5,3,8,0,1,1,1,0,1,11,6,17,0,0,0,17347,1969,19316
2013,6723,1232,7955,11519,810,12329,61,2,63,,,,757,32,789,12,1,13,,,,1,0,1,13,3,16,0,0,0,19086,2080,21166
2014,6373,1304,7677,10558,813,11371,45,8,53,,,,632,28,660,12,4,16,,,,1,1,2,16,6,22,0,0,0,17637,2164,19801
2015,5875,1242,7117,9438,674,10112,47,8,55,,,,545,27,572,12,0,12,1,0,1,2,1,3,12,4,16,0,0,0,15932,1956,17888
2016,5841,1234,7075,8610,672,9282,53,9,62,,,,478,19,497,5,0,5,1,0,1,4,0,4,12,1,13,0,0,0,15004,1935,16939
2017,6008,1252,7260,8813,668,9481,53,6,59,,,,419,12,431,12,2,14,1,0,1,2,0,2,18,2,20,0,0,0,15326,1942,17268
2018,6596,1459,8055,9175,702,9877,53,6,59,,,,473,21,494,9,3,12,,,,5,1,6,20,4,24,0,0,0,16331,2196,18527
2019,6554,1441,7995,8741,646,9387,52,6,58,,,,502,36,538,6,1,7,1,0,1,6,1,7,14,1,15,0,0,0,15876,2132,18008
2020,6706,1437,8143,8894,664,9558,64,4,68,,,,492,28,520,8,0,8,1,0,1,1,0,1,3,1,4,0,0,0,16169,2134,18303
2021,5061,1001,6062,6865,406,7271,45,3,48,,,,375,15,390,7,0,7,,,,1,0,1,4,0,4,0,0,0,12358,1425,13783
2022,5108,998,6106,6398,406,6804,38,4,42,,,,376,16,392,8,2,10,,,,1,0,1,4,2,6,0,0,0,11933,1428,13361
2023,4979,981,5960,6402,467,6869,42,2,44,,,,401,18,419,7,1,8,1,0,1,,,,3,3,6,0,0,0,11835,1472,13307
2024,4860,1023,5883,6685,523,7208,39,6,45,,,,411,14,425,7,2,9,,,,0,1,1,10,2,12,0,0,0,12012,1571,13583
2025,4644,1030,5674,6922,550,7472,46,1,47,,,,488,22,510,6,0,6,1,1,2,1,0,1,10,2,12,0,0,0,12118,1606,13724
